dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm,n_perturbations,empirical_pval,empirical_fdr
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.0063165169124381,-0.1791407394330375,True,-0.0153734606583244,,6.05636676102,2393.0,0.6836606769745089,0.8203928123694106
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.0009327599589605,0.3830108271034148,True,0.0300743653385255,,9.97226184873,2393.0,0.3326368575010447,0.5702346128589337
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.0004006975777489,0.6089548074658244,True,0.0144508874957234,0.3911771307838185,7.18269229752,2393.0,0.0162975344755537,0.0977852068533222
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.0004882820119225,,False,0.0165393350399636,0.2864868032490799,7.73382883331,,,
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.0001942441658818,0.8179064363133736,True,0.0076473385203056,,4.79908730607,2393.0,0.06184705390722942,0.2473882156289177
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.0019307460561074,,False,-0.0098960056549843,,3.50842865253,,,
TYMS,DHFR,TYMS-DHFR,20.07485,chr5_q,chr18_p,0.0011192578196396,,False,-0.0212455069440273,0.1096540673709779,5.99457972422,,,
POM121C,POM121L2,POM121C-POM121L2,39.4881,chr6_p,chr7_q,0.0041468345760043,,False,,,0.0,,,
TUBB4B,TUBB,TUBB4B-TUBB,97.41295,chr6_p,chr9_q,4.30891259001776e-07,,False,-0.0349844518162381,0.3321368947271856,10.3095900369,,,
PPP2CA,PPP2CB,PPP2CA-PPP2CB,97.411,chr8_p,chr5_q,3.40338384631437e-09,-0.0878755360682799,True,-0.0050830111066506,-0.271721126049166,6.15076274436,2393.0,0.8700376096949436,0.8700376096949437
SMARCA4,SMARCA2,SMARCA4-SMARCA2,76.5143,chr9_p,chr19_p,0.0058999561072007,,False,0.0064203300558102,,5.37816477987,,,
DDX3X,DDX3Y,DDX3X-DDX3Y,92.2846,chrY,chrX_p,1.28749520310857e-15,,False,,,5.57561487762,,,
EIF1AX,EIF1AY,EIF1AX-EIF1AY,99.3056,chrY,chrX_p,2.22650630820422e-13,,False,,,5.52888382727,,,
RPS4X,RPS4Y1,RPS4X-RPS4Y1,92.7757,chrY,chrX_q,0.0003556216050391,,False,,,8.9057480097,,,
