dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct,n_perturbations,empirical_pval,empirical_fdr
TNIP1,TNIP3,27.1981,4.811435788869858,Non-significant background,34,0.1178386996152913,11672.0,0.005740233036326251,1.0
GPR150,AVPR1A,22.77795,4.802784115076065,Non-significant background,35,0.1213045437216234,11672.0,0.005911583276216587,1.0
CCT7,CCT8,25.8484,4.782665729522705,Non-significant background,36,0.1247703878279554,11672.0,0.0012851267991775188,1.0
RGS2,RGS13,35.8431,4.711797907948494,Non-significant background,37,0.1282362319342876,11672.0,0.01405071967100754,1.0
MAPK12,SRPK3,21.76905,4.614932179450989,Non-significant background,38,0.1317020760406197,11672.0,0.011737491432488005,1.0
EPHB4,EPHB3,57.8355,4.607973724603653,Non-significant background,39,0.1351679201469517,11672.0,0.004626456477039068,1.0
CCT2,CCT8,25.67315,4.574692964553833,Non-significant background,40,0.1386337642532839,11672.0,0.0015421521590130226,1.0
COL8A2,C1QTNF9,30.09325,4.43387296795845,Non-significant background,41,0.142099608359616,11672.0,0.007710760795065113,1.0
LHB,CGB7,76.28625,4.40733328461647,Non-significant background,42,0.145565452465948,11672.0,0.008396161754626456,1.0
XIAP,BIRC7,24.155,4.394705653190613,Non-significant background,43,0.1490312965722801,11672.0,0.020047978067169295,1.0
ZNF18,ZSCAN5B,24.0106,4.392820134758949,Non-significant background,44,0.1524971406786122,11672.0,0.019876627827278958,1.0
HSD17B12,RDH5,20.3193,4.350490868091583,Non-significant background,45,0.1559629847849444,11672.0,0.0012851267991775188,1.0
SNAP23,SNAP25,59.481,4.338752314448357,Non-significant background,46,0.1594288288912764,11672.0,0.0003427004797806717,1.0
ACVR2A,AMHR2,26.04635,4.168716996908188,Non-significant background,47,0.1628946729976085,11672.0,0.022532556545579164,1.0
NKX2-1,NKX2-5,26.5059,4.11371137201786,Non-significant background,48,0.1663605171039406,11672.0,0.023560657984921178,1.0
BTN2A1,BTNL3,36.3911,4.112518310546875,Non-significant background,49,0.1698263612102727,11672.0,0.01730637422892392,1.0
METTL23,METTL21C,23.08015,4.110872775316238,Non-significant background,50,0.1732922053166048,11672.0,0.02064770390678547,1.0
CCT3,CCT4,31.9198,4.088665723800659,Non-significant background,51,0.1767580494229369,11672.0,0.004883481836874572,1.0
PSMA4,PSMA8,36.4161,4.065636575222015,Non-significant background,52,0.180223893529269,11672.0,0.007368060315284441,1.0
TMOD3,LMOD2,31.9831,4.063905477523804,Non-significant background,53,0.1836897376356011,11672.0,0.006939684715558602,1.0
ACSM3,ACSM4,59.17825,4.057165786623955,Non-significant background,54,0.1871555817419332,11672.0,0.018677176148046606,1.0
ADGRE5,ADGRE3,30.31795,4.021782338619232,Non-significant background,55,0.1906214258482653,11672.0,0.006425633995887595,1.0
CDC42,RHOU,49.6581,4.020122796297073,Non-significant background,56,0.1940872699545974,11672.0,0.0005140507196710075,1.0
AIM2,PYHIN1,29.93525,4.018050521612167,Non-significant background,57,0.1975531140609295,11672.0,0.026216586703221384,1.0
HSPA4,HSPA8,30.6708,4.01732337474823,Non-significant background,58,0.2010189581672616,11672.0,0.001199451679232351,1.0
SPDYE3,SPDYE9,67.1409,4.016870975494385,Non-significant background,59,0.2044848022735937,11672.0,0.017477724468814255,1.0
TBX21,TBX5,24.12785,4.010674461722374,Non-significant background,60,0.2079506463799258,11672.0,0.0227039067854695,1.0
CSNK1A1,TTBK1,21.973715,3.994314193725586,Non-significant background,61,0.2114164904862579,11672.0,0.005226182316655243,1.0
TBX20,TBX21,21.76335,3.954388692975044,Non-significant background,62,0.21488233459259,11672.0,0.02638793694311172,1.0
LONRF1,LONRF3,35.12045,3.951363787055016,Non-significant background,63,0.2183481786989221,11672.0,0.018505825908156272,1.0
PADI4,PADI6,45.2705,3.947582930326462,Non-significant background,64,0.2218140228052542,11672.0,0.01696367374914325,1.0
LHX3,LHX5,38.04905,3.929095983505249,Non-significant background,65,0.2252798669115863,11672.0,0.016363947909527072,1.0
CYP26A1,CYP26C1,44.77675,3.9262614250183105,Non-significant background,66,0.2287457110179184,11672.0,0.019019876627827278,1.0
RPS4X,RPS4Y1,92.7757,3.917047381401062,Aneuploidy vulnerability,67,0.2322115551242505,11672.0,0.0026559287183002054,1.0
PPIE,PPIL6,21.90125,3.912889301776886,Non-significant background,68,0.2356773992305826,11672.0,0.001113776559287183,1.0
RDH5,SDR9C7,48.4975,3.911156266927719,Non-significant background,69,0.2391432433369147,11672.0,0.014736120630568882,1.0
GPX1,GPX5,41.5844,3.883190482854843,Non-significant background,70,0.2426090874432468,11672.0,0.02433173406442769,1.0
HTR7,HTR2A,24.0017,3.868409663438797,Non-significant background,71,0.2460749315495789,11672.0,0.024588759424263192,1.0
ZNF202,ZSCAN5B,25.12205,3.864707008004189,Non-significant background,72,0.2495407756559109,11672.0,0.02810143934201508,1.0
ATP2A2,ATP2A1,82.4623,3.8608782291412354,Non-significant background,73,0.2530066197622431,11672.0,0.0035983550376970526,1.0
KISS1R,SSTR5,28.929,3.858480393886566,Non-significant background,74,0.2564724638685752,11672.0,0.010195339273474983,1.0
NEUROG3,NEUROD2,21.8721,3.8470056653022766,Non-significant background,75,0.2599383079749073,11672.0,0.023732008224811516,1.0
SLFN14,SLFN11,43.35515,3.831874385476112,Non-significant background,76,0.2634041520812394,11672.0,0.020733379026730638,1.0
TSSK3,TSSK4,37.12905,3.8115463852882385,Non-significant background,77,0.2668699961875715,11672.0,0.0160212474297464,1.0
OTX1,PITX1,20.1321,3.809021636843682,Non-significant background,78,0.2703358402939035,11672.0,0.026302261823166553,1.0
ELF3,EHF,35.8711,3.7997374683618546,Non-significant background,79,0.2738016844002356,11672.0,0.0227039067854695,1.0
RNF227,RNF224,26.2652,3.771555542945862,Non-significant background,80,0.2772675285065678,11672.0,0.020733379026730638,1.0
ALDH1B1,ALDH3B2,21.7519,3.757086142897606,Non-significant background,81,0.2807333726128999,11672.0,0.021247429746401644,1.0
DDX54,EIF4A1,21.7687,3.74476557970047,Non-significant background,82,0.284199216719232,11672.0,0.0025702535983550376,1.0
KCNK1,KCNK3,23.98705,3.7440073490142822,Non-significant background,83,0.2876650608255641,11672.0,0.016792323509252912,1.0
HLA-A,CD1C,22.1095,3.7301138639450073,Non-significant background,84,0.2911309049318961,11672.0,0.027330363262508567,1.0
RAMAC,RAMACL,99.1525,3.729884944856167,Non-significant background,85,0.2945967490382283,11672.0,0.0013708019191226869,1.0
IKBKB,IKBKE,20.53145,3.729133129119873,Non-significant background,86,0.2980625931445603,11672.0,0.011480466072652502,1.0
NR2E1,HNF4A,29.3397,3.727238804101944,Non-significant background,87,0.3015284372508924,11672.0,0.014564770390678546,1.0
NPIPA5,NPIPB8,56.6329,3.7075198888778687,Non-significant background,88,0.3049942813572245,11672.0,0.0016278272789581906,1.0
UBB,UBC,66.424,3.695141851902008,Non-significant background,89,0.3084601254635566,11672.0,0.0038553803975325566,1.0
SLC45A4,SLC45A2,29.9944,3.670215904712677,Non-significant background,90,0.3119259695698888,11672.0,0.015764222069910898,1.0
RBPJ,RBPJL,49.64595,3.6661683320999146,Non-significant background,91,0.3153918136762208,11672.0,0.015849897189856067,1.0
CAPN10,CAPN8,28.087,3.663267195224762,Non-significant background,92,0.3188576577825529,11672.0,0.02801576422206991,1.0
IPO13,TNPO3,23.1281,3.63452033046633,Non-significant background,93,0.322323501888885,11672.0,0.0008567511994516792,1.0
NEDD8,UBA52,45.3559,3.628791928291321,Non-significant background,94,0.3257893459952171,11672.0,0.002227553118574366,1.0
ANKRD28,ANKRD55,20.799,3.622779130935669,Non-significant background,95,0.3292551901015492,11672.0,0.014222069910897875,1.0
CSRP2,CSRP3,66.6671,3.62236750125885,Non-significant background,96,0.3327210342078813,11672.0,0.026987662782727895,1.0
DUSP26,STYXL2,22.971885,3.557850241661072,Non-significant background,97,0.3361868783142134,11672.0,0.010195339273474983,1.0
TFEB,TFEC,36.62275,3.5395660996437073,Non-significant background,98,0.3396527224205455,11672.0,0.02021932830705963,1.0
WNT5A,WNT8B,35.0757,3.538396805524826,Non-significant background,99,0.3431185665268776,11672.0,0.02193283070596299,1.0
HSPA8,HSPA1L,82.9849,3.5370103418827057,Non-significant background,100,0.3465844106332097,11672.0,0.002398903358464702,1.0
LANCL2,LANCL3,31.99205,3.536717653274536,Non-significant background,101,0.3500502547395418,11672.0,0.011309115832762166,1.0
SNRPF,LSM6,45.843,3.5363821387290955,Non-significant background,102,0.3535160988458739,11672.0,0.0038553803975325566,1.0
PSMA7,PSMA2,36.54535,3.5356953144073486,Non-significant background,103,0.356981942952206,11672.0,0.004283755997258396,1.0
DHX15,DHX34,26.9793,3.5280491709709167,Non-significant background,104,0.3604477870585381,11672.0,0.0012851267991775188,1.0
HS3ST3B1,HS3ST6,57.62485,3.5054810643196106,Non-significant background,105,0.3639136311648702,11672.0,0.02064770390678547,1.0
LGALS8,LGALS4,35.94065,3.5037257075309753,Non-significant background,106,0.3673794752712023,11672.0,0.011651816312542838,1.0
POLR3K,POLR1H,24.9339,3.5000391006469727,Non-significant background,107,0.3708453193775344,11672.0,0.0006854009595613434,1.0
TRPM7,TRPM5,21.8249,3.4996030032634735,Non-significant background,108,0.3743111634838665,11672.0,0.01739204934886909,1.0
CRABP1,FABP1,28.0706,3.495674565434456,Non-significant background,109,0.3777770075901986,11672.0,0.032385195339273476,1.0
MOV10L1,CT55,30.21935,3.482256770133972,Non-significant background,110,0.3812428516965307,11672.0,0.024588759424263192,1.0
DMRT3,DMRT2,20.2861,3.471387565135956,Non-significant background,111,0.3847086958028627,11672.0,0.02810143934201508,1.0
NCK1,GRAP,23.59765,3.466410368680954,Non-significant background,112,0.3881745399091948,11672.0,0.02347498286497601,1.0
SHF,SHE,33.7759,3.447315990924835,Non-significant background,113,0.391640384015527,11672.0,0.011994516792323509,1.0
WDR5B,DAW1,23.66375,3.405910551548004,Non-significant background,114,0.3951062281218591,11672.0,0.01285126799177519,1.0
MYL5,MYL11,57.90265,3.384480595588684,Non-significant background,115,0.3985720722281912,11672.0,0.03589787525702536,1.0
ACAD9,ACADS,29.67555,3.3839352130889893,Non-significant background,116,0.4020379163345232,11672.0,0.008396161754626456,1.0
TAF15,FUS,45.9562,3.3820475339889526,Non-significant background,117,0.4055037604408553,11672.0,0.008310486634681289,1.0
SCN4A,SCN10A,56.28,3.3592682480812073,Non-significant background,118,0.4089696045471875,11672.0,0.019876627827278958,1.0
PBX1,MEIS1,23.71495,3.3547236919403076,Non-significant background,119,0.4124354486535196,11672.0,0.01405071967100754,1.0
BHMT,BHMT2,73.57205,3.3446639478206635,Non-significant background,120,0.4159012927598516,11672.0,0.033241946538725156,1.0
THRAP3,BCLAF1,38.7335,3.339066728949547,Non-significant background,121,0.4193671368661837,11672.0,0.002141877998629198,1.0
CTSD,PGA5,43.5392,3.3320000767707825,Non-significant background,122,0.4228329809725158,11672.0,0.015935572309801235,1.0
GALNT11,GALNT15,30.492,3.3315186500549316,Non-significant background,123,0.426298825078848,11672.0,0.020047978067169295,1.0
MYL9,MYL11,55.13625,3.326188087463379,Non-significant background,124,0.42976466918518,11672.0,0.042666209732693625,1.0
KCNJ11,KCNJ15,32.16925,3.3165176808834076,Non-significant background,125,0.4332305132915121,11672.0,0.02972926662097327,1.0
ASGR1,CLEC4D,20.62335,3.3103638887405396,Non-significant background,126,0.4366963573978443,11672.0,0.018934201507882113,1.0
KCNK17,KCNK15,25.07575,3.296085238456726,Non-significant background,127,0.4401622015041764,11672.0,0.01405071967100754,1.0
PBX4,MEIS1,21.9992,3.2941553592681885,Non-significant background,128,0.4436280456105084,11672.0,0.016192597669636738,1.0
PSMA6,PSMA8,29.84065,3.2924813628196716,Non-significant background,129,0.4470938897168405,11672.0,0.019105551747772447,1.0
SMYD3,SMYD1,29.10885,3.291343033313751,Non-significant background,130,0.4505597338231726,11672.0,0.026901987662782727,1.0
CDC42,RND2,37.1174,3.2903821170330048,Non-significant background,131,0.4540255779295047,11672.0,0.0009424263193968472,1.0
KCNK5,KCNK15,20.13725,3.2554455995559692,Non-significant background,132,0.4574914220358368,11672.0,0.014650445510623715,1.0
APOBEC3G,APOBEC3H,25.0128,3.2471519708633423,Non-significant background,133,0.4609572661421689,11672.0,0.017649074708704592,1.0
GPR27,GPR85,52.08285,3.2306219041347504,Non-significant background,134,0.464423110248501,11672.0,0.02852981494174092,1.0
SLC16A3,SLC16A11,31.15245,3.2225526571273804,Non-significant background,135,0.4678889543548331,11672.0,0.015507196710075393,1.0
P4HB,PDILT,30.55095,3.220040589570999,Non-significant background,136,0.4713547984611652,11672.0,0.03641192597669637,1.0
TXNDC9,PDCL2,26.57985,3.217455744743347,Non-significant background,137,0.4748206425674973,11672.0,0.02013365318711446,1.0
APOBEC3F,AICDA,29.76615,3.209094360470772,Non-significant background,138,0.4782864866738294,11672.0,0.03726867717614805,1.0
GATA6,GATA5,38.00605,3.198909491300583,Non-significant background,139,0.4817523307801614,11672.0,0.033584647018505824,1.0
KLKB1,CFI,21.00905,3.1963155567646027,Non-significant background,140,0.4852181748864936,11672.0,0.030843043180260453,1.0
SSTR2,PTGDR2,20.4425,3.191327065229416,Non-significant background,141,0.4886840189928257,11672.0,0.03384167237834133,1.0
LTBR,CD27,20.2785,3.1880987882614136,Non-significant background,142,0.4921498630991578,11672.0,0.018248800548320766,1.0
RBP5,FABP12,30.55555,3.1857208609580994,Non-significant background,143,0.4956157072054898,11672.0,0.021333104866346812,1.0
CCT4,CCT7,31.7934,3.175003170967102,Non-significant background,144,0.4990815513118219,11672.0,0.015164496230294722,1.0
PLEKHJ1,PHETA1,26.81865,3.1738041639328003,Non-significant background,145,0.5025473954181541,11672.0,0.0015421521590130226,1.0
LIPG,PLA1A,25.36755,3.152579814195633,Non-significant background,146,0.5060132395244862,11672.0,0.031185743660041124,1.0
HNRNPA1,HNRNPA3,68.5377,3.15051931142807,Non-significant background,147,0.5094790836308183,11672.0,0.005825908156271419,1.0
LPAR4,CYSLTR1,26.9328,3.138764292001724,Non-significant background,148,0.5129449277371504,11672.0,0.03264222069910898,1.0
CELF5,CELF4,65.49955,3.1228665113449097,Non-significant background,149,0.5164107718434825,11672.0,0.0039410555174777245,1.0
ADRA2C,ADRB1,24.71345,3.121205568313598,Non-significant background,150,0.5198766159498146,11672.0,0.034013022618231664,1.0
GAL3ST1,GAL3ST2,33.89255,3.118626594543457,Non-significant background,151,0.5233424600561466,11672.0,0.026473612063056887,1.0
BRSK1,TSSK4,20.58305,3.118619978427887,Non-significant background,152,0.5268083041624788,11672.0,0.0320424948594928,1.0
MRPS7,RPS5,23.9406,3.1075594425201416,Non-significant background,153,0.5302741482688109,11672.0,0.012936943111720356,1.0
FKBP4,FKBP6,24.3509,3.0945738554000854,Non-significant background,154,0.533739992375143,11672.0,0.03127141877998629,1.0
GATA1,GATA3,36.45375,3.072511911392212,Non-significant background,155,0.537205836481475,11672.0,0.0038553803975325566,1.0
KCNK1,KCNK9,24.57745,3.069454789161682,Non-significant background,156,0.5406716805878071,11672.0,0.027159013022618233,1.0
GALNT3,GALNTL5,28.97025,3.065466433763504,Non-significant background,157,0.5441375246941392,11672.0,0.031014393420150787,1.0
SCN5A,CACNA1S,23.9517,3.0591617226600647,Non-significant background,158,0.5476033688004713,11672.0,0.03769705277587389,1.0
TKT,TKTL1,60.407,3.0533894300460815,Non-significant background,159,0.5510692129068034,11672.0,0.04172378341329678,1.0
CA14,CA4,29.3193,3.0533138513565063,Non-significant background,160,0.5545350570131355,11672.0,0.041381082933516104,1.0
EOMES,TBX5,22.103,3.052261099219322,Non-significant background,161,0.5580009011194677,11672.0,0.03641192597669637,1.0
SNRPB,SNRPN,90.0541,3.047713279724121,Non-significant background,162,0.5614667452257998,11672.0,0.1113776559287183,1.0
UBE2C,UBE2W,26.24955,3.0453905910253525,Non-significant background,163,0.5649325893321319,11672.0,0.005397532556545579,1.0
PSMB7,PSMB8,23.14655,3.0433473587036133,Non-significant background,164,0.568398433438464,11672.0,0.0054832076764907475,1.0
ATP1A2,ATP2A1,29.89575,3.0401440858840942,Non-significant background,165,0.5718642775447961,11672.0,0.019619602467443455,1.0
PNMA1,PNMA8C,23.97795,3.0251609086990356,Non-significant background,166,0.5753301216511282,11672.0,0.029043865661411927,1.0
SLC12A4,SLC12A1,27.01575,3.0183103680610657,Non-significant background,167,0.5787959657574602,11672.0,0.011737491432488005,1.0
EEF1D,EEF1B2,41.6308,3.0091962814331055,Non-significant background,168,0.5822618098637923,11672.0,0.03546949965729952,1.0
CDC42,RHOT1,24.64865,3.0010464787483215,Non-significant background,169,0.5857276539701245,11672.0,0.0025702535983550376,1.0
SOX15,SOX1,34.24695,2.98827862739563,Non-significant background,170,0.5891934980764566,11672.0,0.04883481836874572,1.0
MYT1,ST18,45.4404,2.984941393136978,Non-significant background,171,0.5926593421827886,11672.0,0.03135709389993146,1.0
SLC39A10,SLC39A12,20.54175,2.981737583875656,Non-significant background,172,0.5961251862891207,11672.0,0.037011651816312545,1.0
LMO4,LHX2,28.5543,2.9797978699207306,Non-significant background,173,0.5995910303954528,11672.0,0.029557916381082933,1.0
ATP2C1,ATP2A1,34.6586,2.979156494140625,Non-significant background,174,0.6030568745017849,11672.0,0.023132282385195338,1.0
CDK12,CDK13,43.37345,2.9754045009613037,Non-significant background,175,0.606522718608117,11672.0,0.007368060315284441,1.0
HEPH,HEPHL1,49.2879,2.974525451660156,Non-significant background,176,0.6099885627144491,11672.0,0.03375599725839616,1.0
LIPG,PNLIPRP2,27.6857,2.9661940336227417,Non-significant background,177,0.6134544068207812,11672.0,0.02518848526387937,1.0
SET,SETSIP,86.52765,2.963149592280388,Non-significant background,178,0.6169202509271132,11672.0,0.04335161069225497,1.0
IRF3,IRF5,28.5115,2.962619960308075,Non-significant background,179,0.6203860950334453,11672.0,0.032385195339273476,1.0
FAM177A1,FAM177B,29.0576,2.9548034965991974,Non-significant background,180,0.6238519391397775,11672.0,0.029129540781357093,1.0
ITGA7,ITGAX,21.1331,2.953808769583702,Non-significant background,181,0.6273177832461097,11672.0,0.04198080877313228,1.0
SCML2,SCML4,27.10045,2.945971339941025,Non-significant background,182,0.6307836273524416,11672.0,0.045236463331048665,1.0
HMX3,HMX2,35.22945,2.9435906410217285,Non-significant background,183,0.6342494714587738,11672.0,0.03769705277587389,1.0
SOX17,SOX1,21.13525,2.932680368423462,Non-significant background,184,0.6377153155651059,11672.0,0.05097669636737492,1.0
HTR3A,CHRNA1,23.11325,2.929593473672867,Non-significant background,185,0.641181159671438,11672.0,0.041038382453735436,1.0
EEF1A1,TUFM,30.318,2.925586521625519,Non-significant background,186,0.6446470037777701,11672.0,0.004026730637422892,1.0
ADAM9,ADAM2,30.97855,2.918387860059738,Non-significant background,187,0.6481128478841022,11672.0,0.03812542837559973,1.0
GALR2,CCR3,22.41365,2.917569398880005,Non-significant background,188,0.6515786919904343,11672.0,0.03427004797806717,1.0
ABHD2,ABHD1,21.21715,2.9122060537338257,Non-significant background,189,0.6550445360967664,11672.0,0.030328992460589444,1.0
COL8A2,C1QL2,21.83525,2.9072657227516174,Non-significant background,190,0.6585103802030984,11672.0,0.029900616860863604,1.0
SOX21,SOX14,61.92935,2.904571771621704,Non-significant background,191,0.6619762243094306,11672.0,0.041638108293351614,1.0
SLC26A11,SLC26A1,25.8443,2.8999041616916656,Non-significant background,192,0.6654420684157627,11672.0,0.04292323509252913,1.0
DUSP22,DUSP29,22.1452,2.8844187259674072,Non-significant background,193,0.6689079125220948,11672.0,0.03187114461960247,1.0
RUNX1T1,CBFA2T3,68.04295,2.8785630464553833,Non-significant background,194,0.6723737566284268,11672.0,0.04043865661411926,1.0
AQP5,MIP,53.03105,2.875135600566864,Non-significant background,195,0.6758396007347589,11672.0,0.03564084989718986,1.0
KLRG2,CLEC2L,21.70955,2.857675075531006,Non-significant background,196,0.679305444841091,11672.0,0.018334475668265935,1.0
EPHA2,EPHA10,40.1314,2.8562170267105103,Non-significant background,197,0.6827712889474232,11672.0,0.03469842357779301,1.0
CDC42,RND3,36.86915,2.8548211455345154,Non-significant background,198,0.6862371330537552,11672.0,0.0013708019191226869,1.0
LPL,PNLIPRP3,24.20555,2.8470254689455032,Non-significant background,199,0.6897029771600873,11672.0,0.04549348869088417,1.0
LPAR3,S1PR1,29.97865,2.8431559801101685,Non-significant background,200,0.6931688212664194,11672.0,0.047292666209732694,1.0
CLCN2,CLCNKA,39.9509,2.830771565437317,Non-significant background,201,0.6966346653727515,11672.0,0.03349897189856066,1.0
TCF15,MSC,26.1807,2.830756366252899,Non-significant background,202,0.7001005094790836,11672.0,0.035298149417409184,1.0
ARX,PRRX1,24.61615,2.828759253025055,Non-significant background,203,0.7035663535854157,11672.0,0.04155243317340644,1.0
CLEC11A,CLEC3A,24.5164,2.8215239346027374,Non-significant background,204,0.7070321976917479,11672.0,0.04660726525017135,1.0
CCT6A,CCT6B,85.76825,2.8199207186698914,Non-significant background,205,0.71049804179808,11672.0,0.0012851267991775188,1.0
NPIPB11,NPIPB9,51.9299,2.819422960281372,Non-significant background,206,0.713963885904412,11672.0,0.03461274845784784,1.0
SLC7A6,SLC7A10,41.62095,2.8178325295448303,Non-significant background,207,0.7174297300107441,11672.0,0.31614119259766965,1.0
SIRT1,SIRT2,27.36565,2.8172276616096497,Non-significant background,208,0.7208955741170763,11672.0,0.011052090472926662,1.0
DNAJB1,DNAJB2,26.22005,2.8143423795700073,Non-significant background,209,0.7243614182234084,11672.0,0.03546949965729952,1.0
CCT4,CCT8,26.86475,2.8071117401123047,Non-significant background,210,0.7278272623297404,11672.0,0.02107607950651131,1.0
OSBPL1A,OSBPL7,24.97915,2.8035480976104736,Non-significant background,211,0.7312931064360725,11672.0,0.10409527073337903,1.0
BTN3A2,MOG,25.0012,2.8013521432876587,Non-significant background,212,0.7347589505424046,11672.0,0.040781357093899934,1.0
NR2F6,HNF4A,33.2822,2.7983061373233795,Non-significant background,213,0.7382247946487367,11672.0,0.04292323509252913,1.0
ADRB2,ADRB1,47.88805,2.794806480407715,Non-significant background,214,0.7416906387550688,11672.0,0.048149417409184374,1.0
HBQ1,MB,22.334,2.7892162203788757,Non-significant background,215,0.7451564828614009,11672.0,0.03838245373543523,1.0
KLF13,SP7,22.88005,2.785651057958603,Non-significant background,216,0.748622326967733,11672.0,0.05311857436600411,1.0
MDH2,LDHC,23.28545,2.769794523715973,Non-significant background,217,0.752088171074065,11672.0,0.038039753255654556,1.0
DLX4,BSX,21.5692,2.7680462896823883,Non-significant background,218,0.7555540151803972,11672.0,0.04335161069225497,1.0
TMBIM4,FAIM2,27.9917,2.7661736607551575,Non-significant background,219,0.7590198592867293,11672.0,0.04258053461274846,1.0
PSMC1,PSMC5,44.04275,2.7573229521512985,Non-significant background,220,0.7624857033930614,11672.0,0.004283755997258396,1.0
PSMB6,PSMB8,28.10625,2.754393696784973,Non-significant background,221,0.7659515474993934,11672.0,0.009424263193968472,1.0
S1PR2,S1PR1,44.1504,2.752889037132263,Non-significant background,222,0.7694173916057255,11672.0,0.057230980123372174,1.0
HSPA13,HSPA5,30.86105,2.752292901277542,Non-significant background,223,0.7728832357120576,11672.0,0.0019705277587388622,1.0
IFITM1,IFITM2,66.19695,2.7475506067276,Non-significant background,224,0.7763490798183897,11672.0,0.013708019191226868,1.0
PAQR9,PAQR6,27.5195,2.743835926055908,Non-significant background,225,0.7798149239247218,11672.0,0.07428032899246059,1.0
ATP2B4,ATP2A1,26.16175,2.742449998855591,Non-significant background,226,0.783280768031054,11672.0,0.04557916381082933,1.0
