dep_gene,paralog_gene,mean_identical_score,delta_z,direction
CAB39L,CAB39,80.5338,0.4236196428537369,g1_to_g2
CAB39,CAB39L,80.5338,-0.5063031241297722,g2_to_g1
DNAJC15,DNAJC19,51.21265,-0.6973651796579361,g1_to_g2
DNAJC19,DNAJC15,51.21265,-1.6961069852113724,g2_to_g1
S1PR1,GPR12,24.69195,-0.05378859117627144,g2_to_g1
S1PR4,GPR12,22.3927,-0.05378859117627144,g2_to_g1
S1PR5,GPR12,26.43155,-0.05378859117627144,g2_to_g1
S1PR2,GPR12,23.59885,-0.05378859117627144,g2_to_g1
LPAR3,GPR12,22.1421,-0.05378859117627144,g2_to_g1
LPAR2,GPR12,23.7637,-0.05378859117627144,g2_to_g1
MC1R,GPR12,26.1315,-0.05378859117627144,g2_to_g1
GPR3,GPR12,56.32735,-0.05378859117627144,g2_to_g1
WASF2,WASF3,49.0008,0.7188074141740799,g2_to_g1
WASF1,WASF3,48.01795,-0.652165099978447,g2_to_g1
TGFBI,POSTN,39.50545,-0.09996231645345688,g2_to_g1
FNDC3A,FNDC3B,50.95785,1.0043027724605054,g1_to_g2
FNDC3B,FNDC3A,50.95785,-0.6103542894124985,g2_to_g1
LHFPL5,LHFPL6,23.4372,1.132446050643921,g2_to_g1
ST14,TMPRSS15,20.7566,-0.06457606330513954,g2_to_g1
PRSS21,TMPRSS15,20.413735,-0.06457606330513954,g2_to_g1
TMPRSS3,TMPRSS15,22.32205,-0.06457606330513954,g2_to_g1
CXADR,GPA33,24.673,-0.3117855116724968,g1_to_g2
GPA33,CXADR,24.673,1.1238052248954773,g2_to_g1
CXADR,VSIG8,30.4156,0.5356730744242668,g1_to_g2
CXADR,VSIG2,23.77115,-0.5266459044069052,g1_to_g2
VSIG2,CXADR,23.77115,0.5821404457092285,g2_to_g1
CXADR,IGSF11,30.35945,-0.4575548693537712,g1_to_g2
CXADR,ESAM,24.3976,-0.3044807887636125,g1_to_g2
ESAM,CXADR,24.3976,-0.5245524346828461,g2_to_g1
CXADR,VSIG1,21.561,-0.8518316075205803,g1_to_g2
VSIG1,CXADR,21.561,-1.1951233744621277,g2_to_g1
CXADR,F11R,20.6863,0.18607442826032639,g1_to_g2
F11R,CXADR,20.6863,-1.1951233744621277,g2_to_g1
CXADR,CLMP,29.0007,-0.2773566320538521,g1_to_g2
CLMP,CXADR,29.0007,-1.1951233744621277,g2_to_g1
JAM3,JAM2,33.8948,-0.251410448923707,g2_to_g1
F11R,JAM2,32.4959,-0.43084852397441864,g2_to_g1
FRAS1,FREM2,27.73215,-0.6032408475875854,g2_to_g1
SCAF4,SCAF8,38.3971,0.68972547352314,g1_to_g2
SCAF8,SCAF4,38.3971,0.2325150966644287,g2_to_g1
TBC1D4,TBC1D1,48.36895,1.148267112672329,g1_to_g2
TBC1D1,TBC1D4,48.36895,-2.405461883172393,g2_to_g1
IMPA2,BPNT1,22.8445,1.663558378815651,g1_to_g2
BPNT1,IMPA2,22.8445,-0.5301158577203751,g2_to_g1
IMPA2,IMPA1,52.05515,-0.7763792127370834,g1_to_g2
IMPA1,IMPA2,52.05515,-0.22494963556528091,g2_to_g1
IMPA2,INPP1,20.32685,0.3754375949501991,g1_to_g2
SPRY2,SPRY3,40.2133,-0.6038257330656052,g1_to_g2
SPRY2,SPRY4,39.44045,1.8643925860524178,g1_to_g2
SPRY2,SPRY1,51.4216,1.1134710945189,g1_to_g2
SPRY1,SPRY2,51.4216,-0.16717827320098877,g2_to_g1
KLF5,KLF16,20.31625,-0.2466472126543522,g1_to_g2
KLF16,KLF5,20.31625,0.37456806376576424,g2_to_g1
KLF5,KLF4,23.30345,-0.9180333912372589,g1_to_g2
KLF4,KLF5,23.30345,0.21737835183739662,g2_to_g1
KLF5,KLF8,24.12245,0.38173380494117737,g1_to_g2
KLF8,KLF5,24.12245,-1.0846103839576244,g2_to_g1
KLF5,KLF9,21.0599,0.932377852499485,g1_to_g2
KLF9,KLF5,21.0599,0.1926877386868,g2_to_g1
KLF5,KLF15,20.66415,-0.5211100094020367,g1_to_g2
KLF15,KLF5,20.66415,0.27004318311810493,g2_to_g1
KLF5,KLF1,25.24815,0.5387773960828781,g1_to_g2
KLF5,KLF12,23.14495,-0.8840417936444283,g1_to_g2
KLF12,KLF5,23.14495,-0.21088635548949242,g2_to_g1
KLF5,KLF6,29.7531,0.41748329997062683,g1_to_g2
KLF6,KLF5,29.7531,-0.918543379753828,g2_to_g1
KLF5,KLF7,29.42205,-0.43524824641644955,g1_to_g2
KLF7,KLF5,29.42205,-0.6324342899024487,g2_to_g1
KLF5,KLF13,20.09445,0.3285090010613203,g1_to_g2
KLF13,KLF5,20.09445,0.40309523418545723,g2_to_g1
KLF5,KLF2,25.2757,0.4485154300928116,g1_to_g2
KLF2,KLF5,25.2757,0.5367416925728321,g2_to_g1
NCAM1,NCAM2,26.7888,-0.17478779703378677,g2_to_g1
PRKAA1,HUNK,21.21,1.2649881951510906,g2_to_g1
BRSK1,HUNK,20.68145,0.9888403527438641,g2_to_g1
TSSK6,HUNK,24.0519,-0.6034957058727741,g2_to_g1
MELK,HUNK,20.8503,-0.6034957058727741,g2_to_g1
SIK1,HUNK,21.01995,0.2843511216342449,g2_to_g1
POU4F1,POU1F1,27.3684,-0.1414422020316124,g1_to_g2
POU1F1,POU4F1,27.3684,-0.32929468154907227,g2_to_g1
POU4F1,POU3F2,25.07745,-0.07538007944822311,g1_to_g2
POU3F2,POU4F1,25.07745,1.2645788490772247,g2_to_g1
POU4F1,POU4F3,67.3497,1.0084345899522305,g1_to_g2
POU4F3,POU4F1,67.3497,1.5648939907550812,g2_to_g1
POU4F1,POU3F4,27.3306,-0.1433061845600605,g1_to_g2
POU3F4,POU4F1,27.3306,0.07059440016746521,g2_to_g1
POU4F1,POU2F2,20.34495,-0.47392590157687664,g1_to_g2
POU2F2,POU4F1,20.34495,-0.23871281743049622,g2_to_g1
POU4F1,POU3F3,24.7845,-0.07843201421201229,g1_to_g2
POU3F3,POU4F1,24.7845,-0.6104322969913483,g2_to_g1
POU4F1,POU3F1,24.63105,0.11902762949466705,g1_to_g2
POU3F1,POU4F1,24.63105,0.7507376372814178,g2_to_g1
POU4F1,POU2F3,23.40105,-0.31308338046073914,g1_to_g2
POU2F3,POU4F1,23.40105,0.23246902227401733,g2_to_g1
POU4F1,POU5F1B,21.98165,2.6940616630017757,g1_to_g2
POU5F1B,POU4F1,21.98165,-0.4235721826553345,g2_to_g1
POU5F1,POU4F1,21.94875,0.1674705147743225,g2_to_g1
POU4F1,POU4F2,61.12005,-0.01715496927499771,g1_to_g2
POU4F2,POU4F1,61.12005,-0.535516083240509,g2_to_g1
MORC3,MORC4,34.86145,0.7427013888955116,g1_to_g2
MORC4,MORC3,34.86145,0.27526356279850006,g2_to_g1
SPATA13,ARHGEF9,42.04405,-0.40447504818439484,g1_to_g2
ARHGEF9,SPATA13,42.04405,0.14700062945485115,g2_to_g1
GCFC2,PAXBP1,30.5849,-1.140285175293684,g2_to_g1
OLFM4,OLFM3,21.757,-0.022468695417046547,g1_to_g2
OLFM4,OLFM2,22.4825,-1.2314997017383575,g1_to_g2
OLFM4,OLFM1,24.337,0.027782365679740906,g1_to_g2
RANBP6,IPO5,79.11095,0.255963496863842,g2_to_g1
IPO4,IPO5,20.57045,-0.3279664143919945,g2_to_g1
CELF2,CELF4,45.5366,-0.04110838519409299,g2_to_g1
CELF1,CELF4,43.83435,-0.04110838519409299,g2_to_g1
ITSN1,ITSN2,60.1551,0.6554147899150848,g1_to_g2
ITSN2,ITSN1,60.1551,-0.05278164893388748,g2_to_g1
DIAPH3,FMNL2,20.4338,-0.22844930738210678,g1_to_g2
FMNL2,DIAPH3,20.4338,0.5552512407302856,g2_to_g1
DIAPH3,DIAPH2,54.92705,-1.8113907799124718,g1_to_g2
DIAPH2,DIAPH3,54.92705,0.09787029027938843,g2_to_g1
DIAPH3,DAAM2,20.4961,-0.11475539579987526,g1_to_g2
DIAPH3,FMNL3,20.20305,-0.8313484489917755,g1_to_g2
FMNL3,DIAPH3,20.20305,-0.825692355632782,g2_to_g1
DIAPH3,FMNL1,20.26885,-0.5962041635066271,g1_to_g2
FMNL1,DIAPH3,20.26885,0.1587812900543213,g2_to_g1
DIAPH3,DAAM1,21.38335,-0.7783891744911671,g1_to_g2
DAAM1,DIAPH3,21.38335,-0.3785804361104965,g2_to_g1
DIAPH3,DIAPH1,45.32035,-1.2011040300130844,g1_to_g2
DIAPH1,DIAPH3,45.32035,0.8919646143913269,g2_to_g1
SS18,SS18L2,29.220805,0.22065138816833496,g1_to_g2
SS18L2,SS18,29.220805,0.10535625368356705,g2_to_g1
SS18,SS18L1,60.48645,1.5305125750601292,g1_to_g2
SS18L1,SS18,60.48645,-1.1988266929984093,g2_to_g1
SLC7A6,SLC7A1,21.366,-1.1506891138851643,g2_to_g1
SLC7A5,SLC7A1,20.4827,0.9696669690310955,g2_to_g1
SLC7A8,SLC7A1,21.27275,-1.0704859383404255,g2_to_g1
SLC7A11,SLC7A1,21.3357,6.202110301703215,g2_to_g1
SLC7A7,SLC7A1,21.28065,0.012412391602993011,g2_to_g1
SLC15A2,SLC15A1,46.6349,-0.08392919972538948,g2_to_g1
FOXO1,FOXO4,37.8747,0.7028834074735641,g1_to_g2
FOXO4,FOXO1,37.8747,-0.611333966255188,g2_to_g1
FOXO1,FOXO3,43.3815,-0.8193612620234489,g1_to_g2
FOXO3,FOXO1,43.3815,0.7502177357673645,g2_to_g1
FOXO1,FOXO6,34.70255,3.7637387262657285,g1_to_g2
FOXO6,FOXO1,34.70255,1.4908210039138794,g2_to_g1
LRCH1,LRCH2,43.3247,-0.0628216415643692,g1_to_g2
LRCH1,LRCH4,38.2915,0.49755287170410156,g1_to_g2
LRCH4,LRCH1,38.2915,1.2289691530168056,g2_to_g1
LRCH1,LRCH3,40.6527,-0.48732857313007116,g1_to_g2
LRCH3,LRCH1,40.6527,0.8655928932130337,g2_to_g1
RPRD1A,RPRD1B,67.11695,-1.509531483054161,g1_to_g2
RPRD1B,RPRD1A,67.11695,0.13979506120085716,g2_to_g1
DIS3,DIS3L,34.37245,-0.4113895744085312,g1_to_g2
DIS3L,DIS3,34.37245,-0.7557220943272114,g2_to_g1
DIS3,DIS3L2,27.0636,-5.078640346415341,g1_to_g2
DIS3L2,DIS3,27.0636,-1.7172861583530903,g2_to_g1
MIA2,CTAGE1,67.5639,-0.06147172045893967,g2_to_g1
HRH4,CHRM1,20.61035,-0.07927093748003244,g1_to_g2
HRH4,HTR1D,20.34485,-0.11425318289548159,g1_to_g2
HRH4,TAAR9,20.66315,-0.04661116935312748,g1_to_g2
HRH4,CHRM5,21.10805,0.2158714421093464,g1_to_g2
HRH4,HRH1,20.54785,-0.6160316467285156,g1_to_g2
HRH4,HRH3,37.04695,-0.1023121140897274,g1_to_g2
HRH4,HTR4,22.1081,-0.09377844631671906,g1_to_g2
MAPK7,MAPK4,21.23575,-0.166858883574605,g2_to_g1
MAPK11,MAPK4,26.48245,-0.166858883574605,g2_to_g1
MAPK6,MAPK4,48.676,2.589929236099124,g2_to_g1
MAPK1,MAPK4,30.6973,-0.166858883574605,g2_to_g1
MAPK8,MAPK4,23.2616,-0.166858883574605,g2_to_g1
MAPK10,MAPK4,21.9949,-0.166858883574605,g2_to_g1
MAPK13,MAPK4,27.77065,-0.166858883574605,g2_to_g1
MAPK3,MAPK4,30.1776,-0.166858883574605,g2_to_g1
MAPK12,MAPK4,26.34885,-0.166858883574605,g2_to_g1
MAPK14,MAPK4,25.54375,-0.166858883574605,g2_to_g1
NLK,MAPK4,20.52635,-0.166858883574605,g2_to_g1
MAPK9,MAPK4,21.93515,-0.166858883574605,g2_to_g1
ST8SIA4,ST8SIA3,33.8568,-0.16640641540288925,g2_to_g1
ST8SIA1,ST8SIA3,25.57065,-0.16640641540288925,g2_to_g1
ZMYM5,ZMYM2,42.6429,-1.2288474142551422,g1_to_g2
ZMYM2,ZMYM5,42.6429,-14.681701849447563,g2_to_g1
SMAD2,SMAD3,87.63825,1.3146996945142746,g1_to_g2
SMAD3,SMAD2,87.63825,-0.023687615990638733,g2_to_g1
SMAD2,SMAD4,37.7504,0.2938988283276558,g1_to_g2
SMAD4,SMAD2,37.7504,0.2897454798221588,g2_to_g1
SMAD2,SMAD6,26.19195,-0.40915826708078384,g1_to_g2
SMAD2,SMAD9,59.5289,0.08817391097545624,g1_to_g2
SMAD9,SMAD2,59.5289,0.720214456319809,g2_to_g1
SMAD2,SMAD5,61.3737,0.29250967130064964,g1_to_g2
SMAD5,SMAD2,61.3737,-0.1447454821318388,g2_to_g1
SMAD2,SMAD1,60.9445,0.9051473885774612,g1_to_g2
SMAD1,SMAD2,60.9445,0.2645408809185028,g2_to_g1
SMAD2,SMAD7,24.6881,-0.15795857831835747,g1_to_g2
SMAD7,SMAD2,24.6881,0.24355286359786987,g2_to_g1
SOX1,SOX10,21.87115,-0.02280953899025917,g1_to_g2
SOX10,SOX1,21.87115,-0.27562117762863636,g2_to_g1
SOX1,SOX15,34.24695,0.8205113522708416,g1_to_g2
SOX15,SOX1,34.24695,-0.27562117762863636,g2_to_g1
SOX1,SOX8,22.0786,-0.7238084301352501,g1_to_g2
SOX8,SOX1,22.0786,-0.27562117762863636,g2_to_g1
SOX1,SOX14,37.31935,-0.038590530515648425,g1_to_g2
SOX14,SOX1,37.31935,-0.27562117762863636,g2_to_g1
SOX1,SOX3,51.83675,-0.0340177221223712,g1_to_g2
SOX3,SOX1,51.83675,-0.27562117762863636,g2_to_g1
SOX1,SOX2,55.69315,-0.6960057616233826,g1_to_g2
SOX2,SOX1,55.69315,-0.27562117762863636,g2_to_g1
SOX1,SOX17,21.13525,-0.05419224686920643,g1_to_g2
SOX17,SOX1,21.13525,-0.27562117762863636,g2_to_g1
SOX1,SOX21,37.0844,-0.15451612113974988,g1_to_g2
SOX21,SOX1,37.0844,-0.27562117762863636,g2_to_g1
MYO16,MYO3B,21.01695,-0.3616427481174469,g1_to_g2
MYO3B,MYO16,21.01695,-0.12049953266978264,g2_to_g1
MYO16,MYO1C,21.3534,0.46833958104252815,g1_to_g2
MYO1C,MYO16,21.3534,-0.12049953266978264,g2_to_g1
MYO16,MYO1H,20.63525,-0.07411292940378189,g1_to_g2
MYO16,MYO1E,20.0822,-0.6099590510129929,g1_to_g2
MYO1E,MYO16,20.0822,-0.12049953266978264,g2_to_g1
IRS2,IRS4,25.3144,-0.5911578088998795,g1_to_g2
IRS2,IRS1,37.41615,0.3055004212073982,g1_to_g2
IRS1,IRS2,37.41615,0.5987945422530174,g2_to_g1
STOM,STOML3,63.905,-0.07618722226470709,g2_to_g1
STOML1,STOML3,26.473,-0.07618722226470709,g2_to_g1
STOML2,STOML3,27.16755,-0.07618722226470709,g2_to_g1
TXNL1,TXNDC8,26.06875,-0.06971090473234653,g1_to_g2
PCCA,MCCC1,37.99055,0.8556066527962685,g1_to_g2
MCCC1,PCCA,37.99055,-1.3098426908254623,g2_to_g1
PCCA,PC,30.5597,-0.8035458326339722,g1_to_g2
PC,PCCA,30.5597,-0.8652485460042953,g2_to_g1
MIF4GD,CTIF,21.3098,-0.260167021304369,g2_to_g1
GAREM1,GAREM2,44.3429,1.1817054748535156,g1_to_g2
GAREM2,GAREM1,44.3429,-0.3555586077272892,g2_to_g1
BOD1,BOD1L2,83.02325,-0.019374150782823563,g2_to_g1
GRK4,GRK1,45.056,-0.483437227550894,g2_to_g1
GRK5,GRK1,44.08315,-0.483437227550894,g2_to_g1
GRK6,GRK1,46.01125,-0.483437227550894,g2_to_g1
GRK3,GRK1,29.8746,-0.483437227550894,g2_to_g1
GRK2,GRK1,29.69375,-0.483437227550894,g2_to_g1
NMUR1,MLNR,27.93145,-0.23999549448490143,g2_to_g1
FGFR2,FLT3,22.25075,-0.21494711562991142,g2_to_g1
PDGFRB,FLT3,25.03685,-0.21494711562991142,g2_to_g1
FLT1,FLT3,21.22865,-0.21494711562991142,g2_to_g1
CSF1R,FLT3,30.43605,2.085190374404192,g2_to_g1
FLT4,FLT3,21.23685,-0.21494711562991142,g2_to_g1
KIT,FLT3,29.56035,-0.21494711562991142,g2_to_g1
FAM216A,FAM216B,20.0859,-0.021619990468025208,g2_to_g1
LAYN,CHODL,42.77345,0.6429725587368011,g2_to_g1
BACH1,BACH2,34.1399,-0.02461978793144226,g1_to_g2
BACH2,BACH1,34.1399,1.6898110061883926,g2_to_g1
ITM2B,ITM2A,40.83305,1.2898028418421745,g1_to_g2
ITM2A,ITM2B,40.83305,0.08443944528698921,g2_to_g1
ITM2B,ITM2C,43.52735,-0.029102787375450134,g1_to_g2
ITM2C,ITM2B,43.52735,0.24047786369919777,g2_to_g1
S1PR1,MC4R,22.2379,-0.13074513897299767,g2_to_g1
S1PR2,MC4R,21.33395,-0.13074513897299767,g2_to_g1
LPAR3,MC4R,20.45715,-0.13074513897299767,g2_to_g1
LPAR2,MC4R,22.07105,-0.13074513897299767,g2_to_g1
GPR3,MC4R,20.544,-0.13074513897299767,g2_to_g1
MC1R,MC4R,46.8663,-0.13074513897299767,g2_to_g1
TMX3,P4HB,20.0215,-0.7130528762936592,g1_to_g2
P4HB,TMX3,20.0215,-0.7350575281307101,g2_to_g1
ETS2,FLI1,27.5881,0.9874904751777649,g1_to_g2
FLI1,ETS2,27.5881,-0.20502065401524305,g2_to_g1
ETS2,ETV5,20.66955,0.46248841285705566,g1_to_g2
ETV5,ETS2,20.66955,0.20833769161254168,g2_to_g1
ETS2,GABPA,27.52625,0.5684171989560127,g1_to_g2
GABPA,ETS2,27.52625,-1.3211367456242442,g2_to_g1
ETS2,ETS1,50.5383,0.29426194727420807,g1_to_g2
ETS1,ETS2,50.5383,0.1778818191960454,g2_to_g1
ETS2,SPDEF,20.72495,0.2980763930827379,g1_to_g2
SPDEF,ETS2,20.72495,-0.5321994749829173,g2_to_g1
ETS2,ERG,26.79625,-0.3947442192584276,g1_to_g2
ERG,ETS2,26.79625,-0.268235239200294,g2_to_g1
ETS2,ETV1,21.98885,-0.17344897612929344,g1_to_g2
ETV1,ETS2,21.98885,1.0237610014155507,g2_to_g1
ETS2,FEV,24.3854,-0.04042075667530298,g1_to_g2
FEV,ETS2,24.3854,0.3662670524790883,g2_to_g1
ETS2,ETV2,24.26965,1.5999680906534195,g1_to_g2
ETV2,ETS2,24.26965,-0.41116929333657026,g2_to_g1
KCTD15,KCNRG,22.3511,-1.200924575328827,g2_to_g1
KCTD12,KCNRG,22.6239,1.118293583393097,g2_to_g1
KCTD21,KCNRG,21.4395,-0.31394390761852264,g2_to_g1
KCTD11,KCNRG,20.2579,0.7447947859764099,g2_to_g1
KCTD6,KCNRG,22.89805,-0.7555363774299622,g2_to_g1
FAM124B,FAM124A,26.99635,0.23167331889271736,g2_to_g1
N4BP2L1,N4BP2,23.40101,0.1680831015110016,g1_to_g2
N4BP2,N4BP2L1,23.40101,0.11214102804660797,g2_to_g1
N4BP2L1,N4BP2L2,26.52875,0.40094225108623505,g1_to_g2
N4BP2L2,N4BP2L1,26.52875,-0.03437689691781998,g2_to_g1
PTPN2,PTPRE,20.91825,0.4661975153721869,g1_to_g2
PTPRE,PTPN2,20.91825,-0.09416377171874046,g2_to_g1
PTPN2,PTPN9,22.1183,0.009851574897766113,g1_to_g2
PTPN9,PTPN2,22.1183,0.1954270899295807,g2_to_g1
PTPN2,PTPN11,20.8895,-1.7609610706567764,g1_to_g2
PTPN11,PTPN2,20.8895,0.4225607067346573,g2_to_g1
PTPN2,PTPN6,21.2696,-0.7107611298561096,g1_to_g2
PTPN6,PTPN2,21.2696,0.10144807398319244,g2_to_g1
PTPN2,PTPN7,20.23095,-1.3199365437030792,g1_to_g2
PTPN7,PTPN2,20.23095,-1.1950755566358566,g2_to_g1
PTPN2,PTPN20,21.0786,-0.6652454733848572,g1_to_g2
PTPN2,PTPN1,55.0893,-1.032175701111555,g1_to_g2
PTPN1,PTPN2,55.0893,1.4426308423280716,g2_to_g1
KCNJ14,KCNJ15,32.98565,-0.4093419015407562,g2_to_g1
KCNJ1,KCNJ15,44.4452,0.44164761900901794,g2_to_g1
CSNK1E,CSNK1A1L,58.2776,-0.03088689292781055,g2_to_g1
CSNK1D,CSNK1A1L,59.6847,-0.03088689292781055,g2_to_g1
TTBK2,CSNK1A1L,21.684485,-0.03088689292781055,g2_to_g1
CSNK1G1,CSNK1A1L,43.76365,-0.03088689292781055,g2_to_g1
CSNK1G3,CSNK1A1L,42.83085,-0.03088689292781055,g2_to_g1
VRK1,CSNK1A1L,25.266,-0.03088689292781055,g2_to_g1
CSNK1G2,CSNK1A1L,44.0914,-0.03088689292781055,g2_to_g1
VRK2,CSNK1A1L,22.70495,-0.03088689292781055,g2_to_g1
TRPC1,TRPC4,41.6935,-0.09700039029121399,g2_to_g1
CRYZL1,TP53I3,22.33405,1.1893482506275177,g1_to_g2
CRYZL1,PTGR3,20.69195,2.251721877604723,g1_to_g2
CRYZL1,CRYZ,20.96215,-0.3658706918358803,g1_to_g2
CRYZ,CRYZL1,20.96215,-0.30115459114313126,g2_to_g1
CRYZL1,RTN4IP1,20.7537,-1.068311169743538,g1_to_g2
RTN4IP1,CRYZL1,20.7537,0.8904521390795708,g2_to_g1
CRYZL1,VAT1L,20.22005,13.684275323525071,g1_to_g2
CRYZL1,VAT1,20.55745,2.327735308557749,g1_to_g2
VAT1,CRYZL1,20.55745,0.37027939409017563,g2_to_g1
PHLPP1,PHLPP2,46.97325,1.092489331960678,g1_to_g2
PHLPP2,PHLPP1,46.97325,-1.3195755183696747,g2_to_g1
CPA5,CPB2,36.3296,-0.07578919641673565,g2_to_g1
KCTD15,KCTD1,50.4136,-2.1407368071377277,g2_to_g1
LCP1,PLS3,79.71405,0.5037811249494553,g1_to_g2
LCP1,PLS1,73.2486,0.09146343171596527,g1_to_g2
PLS1,LCP1,73.2486,0.6727507933974266,g2_to_g1
SLC39A6,SLC39A12,20.0947,-0.04979134537279606,g1_to_g2
SLC39A6,SLC39A5,26.04615,-0.7417551465332508,g1_to_g2
SLC39A6,SLC39A14,24.50625,1.335086077451706,g1_to_g2
SLC39A14,SLC39A6,24.50625,-0.33974139392375946,g2_to_g1
SLC39A6,SLC39A8,24.4889,1.980754554271698,g1_to_g2
SLC39A8,SLC39A6,24.4889,-0.2676567882299423,g2_to_g1
SLC39A4,SLC39A6,21.0952,0.2533176988363266,g2_to_g1
SLC39A6,SLC39A10,33.36795,1.5281475279480219,g1_to_g2
SLC39A10,SLC39A6,33.36795,-0.10387624800205231,g2_to_g1
ADAMTS17,ADAMTS5,24.35925,0.0,g2_to_g1
ADAMTS10,ADAMTS5,26.26,0.0,g2_to_g1
ADAMTS1,ADAMTS5,39.4457,0.0,g2_to_g1
ADAMTS6,ADAMTS5,27.7844,0.0,g2_to_g1
SIAH3,SIAH1,38.49695,0.941326692700386,g1_to_g2
SIAH1,SIAH3,38.49695,-0.2931165173649788,g2_to_g1
SIAH3,SIAH2,36.0606,0.8194738756865263,g1_to_g2
SIAH2,SIAH3,36.0606,-0.2931165173649788,g2_to_g1
CACNA1C,NALCN,21.12275,-0.027331452816724777,g2_to_g1
CACNA1D,NALCN,20.2434,-0.027331452816724777,g2_to_g1
AVPR2,GALR1,21.40885,-0.10367019660770893,g2_to_g1
C2CD2L,C2CD2,29.67345,0.7987071573734283,g2_to_g1
