dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
MAPK6,MAPK4,48.676,5.325134160579182,Non-significant background,69,0.24885490676957478
PTGER2,PTGDR,41.0043,5.284548968076706,Non-significant background,70,0.25246149962130776
NONO,PSPC1,56.89615,5.281409829854965,Non-significant background,71,0.25606809247304074
ZC3HAV1,ZC3HAV1L,25.3193,5.274847395718098,Non-significant background,72,0.25967468532477367
UBC,UBB,66.424,5.268932193517685,Non-significant background,73,0.26328127817650665
ATP11B,ATP11C,53.10195,5.255804389715195,Non-significant background,74,0.26688787102823963
PGAM1,PGAM2,80.8682,5.175781764090061,Non-significant background,75,0.27049446387997256
NAV1,NAV2,35.3452,5.114570118486881,Non-significant background,76,0.27410105673170554
GABPB1,GABPB2,65.382,5.098812624812126,Non-significant background,77,0.2777076495834385
ADAM15,ADAM28,27.79695,5.078134670853615,Non-significant background,78,0.2813142424351715
MRGPRD,MRGPRF,31.66125,5.045367736369371,Non-significant background,79,0.28492083528690443
YBX1,LIN28A,30.69735,5.004145495593548,Non-significant background,80,0.28852742813863747
TNPO1,TNPO2,84.5683,4.986297622323036,Non-significant background,81,0.2921340209903704
ALX4,PITX1,20.7859,4.934621937572956,Non-significant background,82,0.2957406138421034
MAF,MAFB,52.4272,4.924009263515472,Non-significant background,83,0.29934720669383635
USP27X,USP3,23.134,4.879913256911095,Non-significant background,84,0.3029537995455693
RFX1,RFX2,48.8129,4.81571538746357,Non-significant background,85,0.30656039239730226
TAGLN2,CNN1,36.92535,4.807334719225764,Non-significant background,86,0.31016698524903524
ATP2A2,ATP2B1,27.1353,4.748750820755959,Non-significant background,87,0.3137735781007682
SAFB,SAFB2,71.8983,4.746141822077334,Non-significant background,88,0.31738017095250115
RASA2,RASA4B,29.32055,4.7138668820261955,Non-significant background,89,0.32098676380423413
SUMO2,SUMO3,91.0577,4.712293907999992,Non-significant background,90,0.3245933566559671
PDIA6,PDIA3,20.2014,4.700415223836899,Non-significant background,91,0.3281999495077001
TCF24,TWIST1,22.42395,4.6993593499064445,Non-significant background,92,0.331806542359433
ZNF799,ZNF700,52.3977,4.558053269982338,Non-significant background,93,0.335413135211166
ID1,ID4,39.25465,4.5532354498282075,Non-significant background,94,0.339019728062899
CLEC7A,KLRG1,21.48105,4.533416271209717,Non-significant background,95,0.3426263209146319
PUM1,PUM2,74.3818,4.510000295937061,Non-significant background,96,0.34623291376636495
HEY1,HES7,20.23885,4.495849567931145,Non-significant background,97,0.3498395066180979
ACSL6,ACSL3,29.54235,4.443411238491535,Non-significant background,98,0.35344609946983085
SMAD4,SMAD7,20.5871,4.43538961187005,Non-significant background,99,0.35705269232156384
BMP8B,INHBE,20.04265,4.3840372590348125,Non-significant background,100,0.3606592851732968
SIX6,SIX2,50.6349,4.373042738065124,Non-significant background,101,0.36426587802502974
FOXD4,FOXE1,21.0752,4.37181556597352,Non-significant background,102,0.3678724708767627
ATP11B,ATP8A2,33.91195,4.353137351572514,Non-significant background,103,0.3714790637284957
BMP6,TGFB2,20.29625,4.3272039368748665,Non-significant background,104,0.37508565658022863
KIT,FGFR2,24.55665,4.317040726542473,Non-significant background,105,0.3786922494319616
B3GNT9,B3GNT7,40.0997,4.317006375640631,Non-significant background,106,0.3822988422836946
CCAR1,CCAR2,32.029,4.291078843176365,Non-significant background,107,0.3859054351354276
DHX35,DHX30,20.90495,4.2853884026408195,Non-significant background,108,0.3895120279871605
SLC38A6,SLC38A2,43.7773,4.266571402549744,Non-significant background,109,0.39311862083889354
FKBP2,FKBP3,31.643,4.2639007568359375,Non-significant background,110,0.3967252136906265
EIF1,EIF1B,92.0354,4.2600358463823795,Aneuploidy vulnerability,111,0.4003318065423594
SPTBN5,SPTBN2,20.23435,4.240681305527687,Non-significant background,112,0.40393839939409243
ZC3H4,ZC3H6,34.6632,4.223401829600334,Non-significant background,113,0.4075449922458254
FZD6,FZD8,29.28785,4.209916852414608,Non-significant background,114,0.4111515850975583
PRKAR1A,PRKAR2B,36.37335,4.206018932163715,Non-significant background,115,0.4147581779492913
SP4,SP1,40.0255,4.197161879390478,Non-significant background,116,0.4183647708010243
KHSRP,FUBP1,61.5886,4.188900224864483,Non-significant background,117,0.4219713636527573
MEX3D,MEX3A,41.3371,4.187007240951061,Non-significant background,118,0.4255779565044902
FOXE3,FOXD4,24.62775,4.180238340049982,Non-significant background,119,0.4291845493562232
SP1,SP4,40.0255,4.173508547246456,Non-significant background,120,0.43279114220795617
WNT10A,WNT11,33.4268,4.139556877315044,Non-significant background,121,0.4363977350596891
CAD,CPS1,42.02135,4.129665061831474,Non-significant background,122,0.4400043279114221
FLII,VIL1,21.7696,4.096002921462059,Non-significant background,123,0.44361092076315506
PSMC5,PSMC1,44.04275,4.073183357715607,Non-significant background,124,0.44721751361488804
TIAL1,TRNAU1AP,24.2964,4.064263314008713,Non-significant background,125,0.45082410646662097
TSPAN9,TSPAN31,21.02315,4.061650399118662,Non-significant background,126,0.45443069931835395
SOCS3,SOCS1,25.2554,4.052118507335763,Non-significant background,127,0.45803729217008693
COX6B1,COX6B2,52.88055,4.043770052492619,Non-significant background,128,0.4616438850218199
SLC16A1,SLC16A9,21.8055,4.0407774448394775,Non-significant background,129,0.46525047787355284
DYNLL1,DYNLL2,93.2584,4.03593085706234,Non-significant background,130,0.4688570707252858
DPF2,DPF1,59.89875,3.990881517529488,Non-significant background,131,0.4724636635770188
P4HB,PDIA3,31.19475,3.962296575307846,Non-significant background,132,0.4760702564287517
XRN2,XRN1,26.20505,3.960523560643196,Non-significant background,133,0.4796768492804847
HNRNPAB,HNRNPDL,52.04245,3.93652318418026,Non-significant background,134,0.4832834421322177
FCGR2A,FCRLB,20.35735,3.921071782708168,Non-significant background,135,0.48689003498395067
HSPA8,HSPH1,28.89865,3.9141359627246857,Non-significant background,136,0.4904966278356836
STAT3,STAT6,22.8099,3.908369000069797,Non-significant background,137,0.4941032206874166
RFX1,RFX3,50.3126,3.897931721061468,Non-significant background,138,0.49770981353914956
AKR1B1,KCNAB1,21.3721,3.883448749780655,Non-significant background,139,0.5013164063908825
GMEB2,GMEB1,37.7288,3.862811522558331,Non-significant background,140,0.5049229992426155
B3GAT2,B3GAT1,50.5469,3.86127744615078,Non-significant background,141,0.5085295920943484
FKBP2,FKBP4,23.97435,3.8604324758052826,Non-significant background,142,0.5121361849460815
ZNF574,ZNF184,20.9272,3.834460365585983,Non-significant background,143,0.5157427777978144
HNRNPDL,HNRNPA3,29.65605,3.8029930517077446,Non-significant background,144,0.5193493706495473
APOL2,APOL6,28.82575,3.7987603321671486,Non-significant background,145,0.5229559635012804
SIK2,NUAK1,22.68675,3.795495498925447,Non-significant background,146,0.5265625563530133
CIB2,CIB1,37.0412,3.7182456105947495,Non-significant background,147,0.5301691492047462
LRRC8C,LRRC8B,50.4359,3.7002278021536767,Non-significant background,148,0.5337757420564793
ANXA6,ANXA9,23.2375,3.6938046291470528,Non-significant background,149,0.5373823349082122
KIT,CSF1R,38.9119,3.6902840360999103,Non-significant background,150,0.5409889277599451
CA9,CA3,25.3042,3.677660262212157,Non-significant background,151,0.5445955206116782
CLEC7A,KLRD1,24.5697,3.673835009336472,Non-significant background,152,0.5482021134634111
CPT1A,CHAT,26.04255,3.667973261326551,Non-significant background,153,0.5518087063151441
HDAC7,HDAC5,42.5678,3.6644992381334305,Non-significant background,154,0.555415299166877
ME3,ME1,69.09875,3.662423551082611,Non-significant background,155,0.55902189201861
GBP5,GBP2,63.8924,3.6604712158441544,Non-significant background,156,0.562628484870343
AARS2,AARS1,45.0623,3.650349583476782,Non-significant background,157,0.5662350777220759
CA11,CA3,28.95875,3.645066058263182,Non-significant background,158,0.5698416705738089
CALR,CANX,36.78545,3.6355933845043182,Non-significant background,159,0.5734482634255419
IL1RL1,IL1RL2,25.4714,3.634517009602859,Non-significant background,160,0.5770548562772749
VAMP5,VAMP2,27.5862,3.607280746102333,Non-significant background,161,0.5806614491290077
THRAP3,BCLAF1,38.7335,3.600324001163244,Non-significant background,162,0.5842680419807408
CLEC4E,CD207,20.1797,3.5984954279847443,Non-significant background,163,0.5878746348324738
RASGRP1,RASGRP4,41.3829,3.592833697795868,Non-significant background,164,0.5914812276842067
HNRNPH1,HNRNPH3,56.8025,3.5817486345767975,Non-significant background,165,0.5950878205359397
STAT5B,STAT6,35.29855,3.580060656182468,Non-significant background,166,0.5986944133876727
HNRNPD,HNRNPDL,51.45875,3.573400244116783,Non-significant background,167,0.6023010062394056
PRKAR1A,PRKAR2A,36.71945,3.5451997593045235,Non-significant background,168,0.6059075990911386
CHD1L,SMARCA1,27.05215,3.5438078977167606,Non-significant background,169,0.6095141919428716
DHX35,DHX36,23.3003,3.530152972787618,Non-significant background,170,0.6131207847946045
HNRNPA1,HNRNPA2B1,60.7038,3.5268091559410095,Non-significant background,171,0.6167273776463376
PRKAG2,PRKAG1,56.86555,3.522948108613491,Non-significant background,172,0.6203339704980705
DMRTA1,DMRT1,23.3255,3.502983905375004,Non-significant background,173,0.6239405633498034
RFPL2,RFPL4A,48.4256,3.4763633236289024,Non-significant background,174,0.6275471562015364
KCNK5,KCNK4,20.241,3.4759972877800465,Non-significant background,175,0.6311537490532694
ZIC5,ZIC2,42.36915,3.4715997837483883,Non-significant background,176,0.6347603419050023
LRBA,NBEA,63.60965,3.471078958362341,Non-significant background,177,0.6383669347567353
FUT7,FUT3,40.71255,3.4674551067873836,Non-significant background,178,0.6419735276084683
DDX5,DDX17,64.0587,3.464237794280052,Aneuploidy vulnerability,179,0.6455801204602012
DNAJB11,DNAJB9,23.28835,3.463395968079567,Non-significant background,180,0.6491867133119342
ACTR3C,ACTA1,27.06265,3.4488992989063263,Non-significant background,181,0.6527933061636672
MIXL1,GSC2,21.1333,3.4365502670407295,Non-significant background,182,0.6563998990154002
SH3BP5,SH3BP5L,30.82515,3.4323909766972065,Non-significant background,183,0.6600064918671331
NLGN3,NLGN4Y,70.9062,3.4123215191066265,Non-significant background,184,0.663613084718866
LHX6,LHX9,27.631,3.402589827775955,Non-significant background,185,0.6672196775705991
PPIL4,PPIH,23.43085,3.400858573615551,Non-significant background,186,0.670826270422332
UCHL5,UCHL3,24.039,3.400175519287586,Non-significant background,187,0.6744328632740649
FLT1,PDGFRA,26.4007,3.3849716410040855,Non-significant background,188,0.678039456125798
KLKB1,F11,57.64665,3.376244269311428,Non-significant background,189,0.681646048977531
PTAFR,GPR87,21.7256,3.369706340134144,Non-significant background,190,0.6852526418292638
PIK3R5,PIK3R6,22.77925,3.348741888999939,Non-significant background,191,0.6888592346809969
GNG11,GNG12,34.4844,3.3462446182966232,Non-significant background,192,0.6924658275327299
WDTC1,DCAF6,23.76915,3.3260136768221855,Non-significant background,193,0.6960724203844628
MAPK14,MAPK6,25.4049,3.322956845164299,Non-significant background,194,0.6996790132361957
TMEM178B,TMEM178A,46.02485,3.319234784692526,Non-significant background,195,0.7032856060879288
ZHX3,ZHX2,29.57815,3.318961475044489,Non-significant background,196,0.7068921989396617
GOLGA8A,GOLGA8R,66.9713,3.301495922729373,Non-significant background,197,0.7104987917913946
TPPP,TPPP3,57.90135,3.3005341589450836,Non-significant background,198,0.7141053846431277
NDST1,HS3ST2,21.60805,3.293043438345194,Non-significant background,199,0.7177119774948606
MC1R,LPAR1,22.42695,3.2921976894140244,Non-significant background,200,0.7213185703465936
PER1,PER3,31.39215,3.290606178343296,Non-significant background,201,0.7249251631983266
SLC38A6,SLC38A1,40.1282,3.2804373130202293,Non-significant background,202,0.7285317560500595
TMPRSS13,HPN,26.4271,3.263680335134268,Non-significant background,203,0.7321383489017925
PCSK6,PCSK4,38.76435,3.259981609880924,Non-significant background,204,0.7357449417535254
LRP1,LRP4,20.30135,3.2431987449526787,Non-significant background,205,0.7393515346052584
WNT16,WNT1,37.00855,3.2384013049304485,Non-significant background,206,0.7429581274569914
STX16,STX7,23.48835,3.22869124263525,Non-significant background,207,0.7465647203087243
SLC7A11,SLC7A1,21.3357,3.1970674991607666,Non-significant background,208,0.7501713131604573
COL6A1,COL1A1,20.78055,3.195008233189583,Non-significant background,209,0.7537779060121903
HOXD10,HOXC5,21.2202,3.1830617636442184,Non-significant background,210,0.7573844988639232
METTL2B,METTL8,50.00455,3.180491060018539,Non-significant background,211,0.7609910917156563
RC3H1,RC3H2,49.25615,3.169773429632187,Non-significant background,212,0.7645976845673892
TOR1A,TOR1B,66.17005,3.1656765304505825,Non-significant background,213,0.7682042774191221
KPNA6,KPNA4,47.5025,3.1623737160116434,Non-significant background,214,0.7718108702708552
CYP2D6,CYP2S1,36.765,3.157387227285654,Non-significant background,215,0.7754174631225881
AP4S1,AP2S1,43.3588,3.1561480909585953,Non-significant background,216,0.779024055974321
ZNF385B,ZNF385C,40.8614,3.155499152839184,Non-significant background,217,0.7826306488260539
STAT3,STAT5A,28.39545,3.153675380628556,Non-significant background,218,0.7862372416777871
PDE6C,PDE10A,20.60535,3.1499243266880512,Non-significant background,219,0.7898438345295199
CLCN6,CLCN4,26.5153,3.1480478793382645,Non-significant background,220,0.793450427381253
ST6GALNAC6,ST6GALNAC3,35.49155,3.1420729905366898,Non-significant background,221,0.797057020232986
HSF1,HSF2,36.4335,3.133364200592041,Non-significant background,222,0.8006636130847188
SNTA1,SNTB2,46.94265,3.1208901181817055,Non-significant background,223,0.8042702059364519
ZFP36L2,ZFP36L1,49.08125,3.1118823774158955,Non-significant background,224,0.8078767987881849
MTMR2,MTMR3,28.32075,3.1021459102630615,Non-significant background,225,0.8114833916399177
PRKAR1B,PRKAR2B,37.37675,3.0838809087872505,Non-significant background,226,0.8150899844916508
UQCRC1,UQCRC2,20.3815,3.0823217928409576,Non-significant background,227,0.8186965773433837
DOCK9,DOCK6,30.68735,3.0732116103172302,Non-significant background,228,0.8223031701951166
FLI1,ETS1,25.6455,3.0708041936159134,Non-significant background,229,0.8259097630468497
DYNC2H1,DNAH6,22.21595,3.064156949520111,Non-significant background,230,0.8295163558985826
DIS3,DIS3L,34.37245,3.063265100121498,Non-significant background,231,0.8331229487503155
SKI,SKIL,36.863,3.0625956505537033,Non-significant background,232,0.8367295416020486
SLAMF1,SLAMF6,20.09035,3.0495849922299385,Non-significant background,233,0.8403361344537815
GALR2,CXCR2,23.8598,3.0475767500465736,Non-significant background,234,0.8439427273055146
CPXM1,CPE,35.4982,3.0475331842899323,Non-significant background,235,0.8475493201572475
SEMA5A,SEMA5B,56.24715,3.043592542409897,Non-significant background,236,0.8511559130089804
USP32,USP4,21.7704,3.0345337465405464,Non-significant background,237,0.8547625058607135
ADAMTSL5,ADAMTSL4,24.1285,3.0282636620104313,Non-significant background,238,0.8583690987124464
DHX35,DHX37,29.15645,3.0276182740926743,Non-significant background,239,0.8619756915641793
CREB1,CREM,60.18435,3.01700995862484,Non-significant background,240,0.8655822844159123
ARX,PITX2,20.6796,3.014676570892334,Non-significant background,241,0.8691888772676453
FCER1A,FCGR3B,35.5956,3.013994596898556,Non-significant background,242,0.8727954701193782
TMED4,TMED3,26.59005,3.0101594775915146,Non-significant background,243,0.8764020629711112
HOXD4,HOXA1,22.79195,3.008352003991604,Non-significant background,244,0.8800086558228442
DDX39A,DDX28,22.43665,2.9825030732899904,Non-significant background,245,0.8836152486745772
CHRNA1,CHRNB2,38.876,2.978018842637539,Non-significant background,246,0.8872218415263101
TRIM39,MID1,20.7583,2.9779910817742348,Non-significant background,247,0.890828434378043
TRIM24,TRIM28,27.4123,2.9727542400360107,Non-significant background,248,0.8944350272297761
SP1,SP3,36.5264,2.9591412097215652,Non-significant background,249,0.898041620081509
RGS3,RGS17,20.173625,2.9577773362398148,Non-significant background,250,0.9016482129332419
ANPEP,LVRN,34.9563,2.9569807089865208,Non-significant background,251,0.905254805784975
CXCL13,CXCL2,24.07615,2.9558456242084503,Non-significant background,252,0.9088613986367079
PAK1,MAP2K3,22.6402,2.953981876373291,Non-significant background,253,0.9124679914884408
PPP1CA,PPEF1,23.9489,2.948516834527254,Non-significant background,254,0.9160745843401739
PRKAR1B,PRKAR2A,37.2294,2.940966732800007,Non-significant background,255,0.9196811771919068
YBX3,LIN28B,24.0774,2.9298857748508453,Non-significant background,256,0.9232877700436398
USP27X,USP51,57.74185,2.9271028265357018,Non-significant background,257,0.9268943628953727
P4HB,PDIA5,20.8398,2.9194296151399612,Non-significant background,258,0.9305009557471057
BMP8B,INHBB,21.2616,2.8982135485857725,Non-significant background,259,0.9341075485988387
HSP90AB1,HSP90AA1,86.40375,2.888701617717743,Non-significant background,260,0.9377141414505716
HOXD1,HOXC4,20.51,2.8855461478233337,Non-significant background,261,0.9413207343023046
ADAM23,ADAM30,23.93715,2.885337235406041,Non-significant background,262,0.9449273271540376
SLC16A5,SLC16A2,20.32805,2.884977970388718,Non-significant background,263,0.9485339200057705
RAB11FIP1,RAB11FIP5,21.7929,2.883761346340179,Non-significant background,264,0.9521405128575035
CASP9,CASP4,20.4783,2.8636388778686523,Non-significant background,265,0.9557471057092365
CA2,CA4,29.6154,2.8630298087373376,Non-significant background,266,0.9593536985609694
ASF1B,ASF1A,70.44505,2.8630198687314987,Non-significant background,267,0.9629602914127023
PPIL4,PPIAL4G,21.9512,2.862744376063347,Non-significant background,268,0.9665668842644354
DDX1,DDX19B,20.9781,2.8560692014871165,Non-significant background,269,0.9701734771161683
ING2,ING3,25.9424,2.8559960052371025,Non-significant background,270,0.9737800699679013
UBP1,TFCP2,70.5353,2.8531349375844,Non-significant background,271,0.9773866628196343
ARNT,BMAL2,27.5456,2.845007136464119,Non-significant background,272,0.9809932556713672
YIPF5,YIPF7,61.5987,2.8411932326853275,Non-significant background,273,0.9845998485231002
UBE2D3,UBE2QL1,24.7264,2.8362093418836594,Non-significant background,274,0.9882064413748332
ABCB6,ABCB9,22.3135,2.834788873791694,Non-significant background,275,0.9918130342265661
UBE2H,UBE2R2,24.64875,2.8310017324984074,Non-significant background,276,0.9954196270782991
PHF19,MTF2,43.82465,2.8293951377272606,Non-significant background,277,0.999026219930032
PDE1B,PDE8B,20.9693,2.8199228197336197,Non-significant background,278,1.002632812781765
ALDH7A1,ALDH1A3,26.6589,2.819197939708829,Non-significant background,279,1.006239405633498
PDE3B,PDE1A,20.9223,2.8161224499344826,Non-significant background,280,1.009845998485231
FXYD3,FXYD6,31.9298,2.800640670582652,Non-significant background,281,1.013452591336964
OSGEP,OSGEPL1,25.1125,2.800141453742981,Non-significant background,282,1.017059184188697
MEGF6,MEGF11,29.22525,2.798205830156803,Non-significant background,283,1.02066577704043
IGSF8,IGSF3,21.84925,2.7961666733026505,Non-significant background,284,1.024272369892163
SLC7A11,SLC7A5,44.64445,2.793954387307167,Non-significant background,285,1.0278789627438958
ZNF574,ZNF497,24.5242,2.7937943562865257,Non-significant background,286,1.0314855555956288
CIAO2A,CIAO2B,43.96665,2.774996981024742,Non-significant background,287,1.0350921484473619
EIF4A2,DDX50,24.98075,2.7726124487817287,Non-significant background,288,1.0386987412990947
ARHGEF19,ARHGEF16,25.776,2.7676924020051956,Non-significant background,289,1.0423053341508277
SOX2,SOX15,36.48745,2.757535383105278,Non-significant background,290,1.0459119270025607
BICRA,BICRAL,22.1845,2.75736828148365,Non-significant background,291,1.0495185198542936
BMI1,PCGF1,30.48535,2.7527080103754997,Non-significant background,292,1.0531251127060266
EIF4A2,DDX55,20.8245,2.745850995182991,Non-significant background,293,1.0567317055577596
STAT3,STAT1,50.92985,2.740873469039798,Non-significant background,294,1.0603382984094925
RHOG,RHOBTB1,28.3576,2.7357209995388985,Non-significant background,295,1.0639448912612255
WNT1,WNT5A,36.5398,2.722724873572588,Non-significant background,296,1.0675514841129585
CABP4,CETN2,26.9334,2.7200428768992424,Non-significant background,297,1.0711580769646913
SLC39A6,SLC39A8,24.4889,2.713601753115654,Non-significant background,298,1.0747646698164244
AMZ2,AMZ1,30.3899,2.7119316160678864,Non-significant background,299,1.0783712626681574
CALM1,CALM3,100.0,2.706777438521385,Non-significant background,300,1.0819778555198902
UBB,UBC,66.424,2.705624036490917,Non-significant background,301,1.0855844483716233
IREB2,ACO1,58.84125,2.7039341181516647,Non-significant background,302,1.0891910412233563
DDX55,DDX3X,21.12865,2.6764988154172897,Non-significant background,303,1.0927976340750893
MAGEE1,NSMCE3,24.4894,2.671549491584301,Non-significant background,304,1.0964042269268222
HSD17B11,SDR16C5,42.3738,2.671505019068718,Non-significant background,305,1.1000108197785552
GK5,GK3,31.06885,2.669086828827858,Non-significant background,306,1.1036174126302882
CCNT1,CCNT2,45.60475,2.6683696657419205,Non-significant background,307,1.107224005482021
ZNF292,RLF,26.64675,2.6675997897982597,Non-significant background,308,1.110830598333754
YPEL2,YPEL4,78.13145,2.6629716977477074,Non-significant background,309,1.1144371911854871
CASP9,CASP8,23.8051,2.6618409752845764,Non-significant background,310,1.11804378403722
MAFK,MAFA,32.81305,2.659957818686962,Non-significant background,311,1.121650376888953
KLF3,KLF8,34.3886,2.659897744655609,Non-significant background,312,1.125256969740686
ZNF441,ZNF101,36.2448,2.659031108021736,Non-significant background,313,1.1288635625924188
CES2,NLGN4Y,27.46275,2.6583404056727886,Non-significant background,314,1.1324701554441519
LCK,JAK2,22.78425,2.6552864480763674,Non-significant background,315,1.136076748295885
PPP1CB,PPEF1,23.8654,2.650723922997713,Non-significant background,316,1.1396833411476177
TBL1X,TBL1XR1,83.13695,2.6486222594976425,Non-significant background,317,1.143289933999351
UBA2,UBA3,28.4758,2.647881019162014,Non-significant background,318,1.1468965268510838
NIP7,CKS1B,23.6779,2.6478651463985443,Non-significant background,319,1.1505031197028166
CHD2,CHD5,21.44105,2.647714525461197,Non-significant background,320,1.1541097125545499
SCAMP4,SCAMP1,36.62695,2.6468042200431228,Non-significant background,321,1.1577163054062827
SLC17A3,SLC17A7,26.74595,2.646290563046932,Non-significant background,322,1.1613228982580155
