dep_gene,paralog_gene,mean_identical_score,delta_z,direction,paralog_ctrl_mean_z,paralog_ccle_log2tpm
VCY,VCX3B,68.77075,0.014045298099517822,g1_to_g2,-0.4555971920490265,
VCY,VCX,71.34175,-0.4756394773721695,g1_to_g2,-0.22676889598369598,
VCY,VCX3A,75.57635,0.006838023662567139,g1_to_g2,-0.41663751006126404,
TBL1Y,TBL1X,87.02415,0.8932716697454453,g1_to_g2,-0.14806102216243744,
TBL1X,TBL1Y,87.02415,-3.0337984561920166,g2_to_g1,1.114677906036377,
TBL1Y,TBL1XR1,85.33325,-1.8271201848983765,g1_to_g2,0.8218135833740234,
TBL1XR1,TBL1Y,85.33325,-1.1114006594289094,g2_to_g1,1.114677906036377,
NLGN4Y,CEL,24.10605,0.8921459317207336,g1_to_g2,-0.4020143151283264,
CEL,NLGN4Y,24.10605,1.3628293871879578,g2_to_g1,-0.9835293889045715,
NLGN4Y,CES2,27.46275,0.05287522077560425,g1_to_g2,-0.6418280601501465,
CES2,NLGN4Y,27.46275,0.9398114308714867,g2_to_g1,-0.9835293889045715,
NLGN4Y,CES3,26.0852,0.10718685388565063,g1_to_g2,-0.2990603446960449,
CES3,NLGN4Y,26.0852,2.476789653301239,g2_to_g1,-0.9835293889045715,
NLGN4Y,BCHE,26.8586,-1.2538495659828186,g1_to_g2,0.3941309452056885,
NLGN4Y,NLGN3,70.9062,0.8389547951519489,g1_to_g2,0.03555853292346001,
NLGN3,NLGN4Y,70.9062,0.83095982670784,g2_to_g1,-0.9835293889045715,
NLGN4Y,CES1,28.089,-0.0009126812219619751,g1_to_g2,-0.06989742070436478,
NLGN4Y,CES4A,27.9998,-0.01019236445426941,g1_to_g2,-0.34620290994644165,
NLGN4Y,ACHE,26.83595,0.08537344634532928,g1_to_g2,-0.07313059270381927,
ACHE,NLGN4Y,26.83595,1.0161208249628544,g2_to_g1,-0.9835293889045715,
NLGN4Y,NLGN2,61.87915,0.7850199565291405,g1_to_g2,0.06394759565591812,
NLGN2,NLGN4Y,61.87915,1.3105104267597198,g2_to_g1,-0.9835293889045715,
NLGN4Y,NLGN1,69.80465,-0.47391754388809204,g1_to_g2,-0.39997386932373047,
NLGN4Y,CES5A,27.15155,-0.005341380834579468,g1_to_g2,-0.13585585355758667,
NLGN4Y,NLGN4X,96.50325,1.0021432042121887,g1_to_g2,-0.43802523612976074,
NLGN4X,NLGN4Y,96.50325,0.8268111050128937,g2_to_g1,-0.9835293889045715,
VCY1B,VCX2,83.56835,0.0059809088706970215,g1_to_g2,-0.11002729088068008,
VCY1B,VCX3B,68.77075,0.012964755296707153,g1_to_g2,-0.4555971920490265,
VCX3B,VCY1B,68.77075,-0.000899583101272583,g2_to_g1,-0.12988559901714325,
VCY1B,VCX,71.34175,-0.4712769538164139,g1_to_g2,-0.22676889598369598,
VCY1B,VCX3A,75.57635,0.015057742595672607,g1_to_g2,-0.41663751006126404,
VCX3A,VCY1B,75.57635,-0.006347790360450745,g2_to_g1,-0.12988559901714325,
RPS4X,RPS4Y2,91.635,-0.005469590425491333,g2_to_g1,-0.1492411196231842,
PCDH1,PCDH11Y,34.44735,1.7962265610694885,g2_to_g1,-0.4301592707633972,
CDY1,CDYL,61.75375,-0.39339375495910645,g1_to_g2,1.568264126777649,
CDY1,CDYL2,38.3806,-0.3514881134033203,g1_to_g2,1.1552820205688477,
RBMY1A1,RBMXL2,43.3879,-0.005869477987289429,g1_to_g2,-0.09541867673397064,
RBMY1A1,RBMXL3,23.479,-0.0030966028571128845,g1_to_g2,-0.11316096037626266,
RBMY1A1,RBMXL1,52.44365,-0.5995529294013977,g1_to_g2,1.0784162282943726,
RBMY1A1,RBMX,54.6554,1.699897825717926,g1_to_g2,-0.27078062295913696,
RBMY1A1,RBM3,28.93015,0.6554810991510749,g1_to_g2,0.006937623955309391,
RBMY1A1,CIRBP,20.9942,1.5206870138645172,g1_to_g2,-1.0758640766143799,
TSPYL1,TSPY4,30.1017,,g2_to_g1,,
TSPYL4,TSPY4,27.16085,,g2_to_g1,,
TSPYL5,TSPY4,25.4017,,g2_to_g1,,
SET,TSPY4,24.46135,,g2_to_g1,,
SETSIP,TSPY4,23.4633,,g2_to_g1,,
TSPYL1,TSPY8,30.44295,-0.0007553091272711754,g2_to_g1,-0.01214536838233471,
TSPYL4,TSPY8,27.46175,-0.0003427751362323761,g2_to_g1,-0.01214536838233471,
TSPYL5,TSPY8,25.40175,-0.0007765302434563637,g2_to_g1,-0.01214536838233471,
TSPYL2,TSPY8,20.16595,-2.991408109664917e-05,g2_to_g1,-0.01214536838233471,
SET,TSPY8,24.6847,-0.00015656184405088425,g2_to_g1,-0.01214536838233471,
SETSIP,TSPY8,23.6835,-0.00015900935977697372,g2_to_g1,-0.01214536838233471,
TSPYL1,TSPY3,30.44295,,g2_to_g1,,
TSPYL4,TSPY3,27.46175,,g2_to_g1,,
TSPYL5,TSPY3,25.684,,g2_to_g1,,
TSPYL2,TSPY3,20.16595,,g2_to_g1,,
SET,TSPY3,24.6847,,g2_to_g1,,
SETSIP,TSPY3,23.6835,,g2_to_g1,,
TSPYL1,TSPY10,30.44295,-0.011296115815639496,g2_to_g1,-0.010181019082665443,
TSPYL4,TSPY10,27.46175,-0.0059477798640728,g2_to_g1,-0.010181019082665443,
TSPYL5,TSPY10,25.684,-0.011890547350049019,g2_to_g1,-0.010181019082665443,
TSPYL2,TSPY10,20.16595,0.0008133482187986374,g2_to_g1,-0.010181019082665443,
SET,TSPY10,24.6847,-0.001370396465063095,g2_to_g1,-0.010181019082665443,
SETSIP,TSPY10,23.6835,0.0009410316124558449,g2_to_g1,-0.010181019082665443,
TSPYL1,TSPY2,30.1662,0.0009472817182540894,g2_to_g1,-0.13904231786727905,
TSPYL4,TSPY2,27.1786,0.0031397491693496704,g2_to_g1,-0.13904231786727905,
TSPYL5,TSPY2,25.684,0.0018879473209381104,g2_to_g1,-0.13904231786727905,
TSPYL2,TSPY2,20.16595,-0.004121914505958557,g2_to_g1,-0.13904231786727905,
SET,TSPY2,24.6847,-0.0030074715614318848,g2_to_g1,-0.13904231786727905,
SETSIP,TSPY2,23.6835,-0.010751038789749146,g2_to_g1,-0.13904231786727905,
NLN,MIPEP,23.9953,-0.740810938179493,g2_to_g1,0.8297771215438843,
THOP1,MIPEP,23.54475,-0.8867986798286438,g2_to_g1,0.8297771215438843,
KPNA3,KPNA1,45.9042,-0.7376134693622589,g1_to_g2,0.5538656711578369,
KPNA1,KPNA3,45.9042,0.4943431615829468,g2_to_g1,-0.18177127838134766,
KPNA3,KPNA5,46.9947,0.9137743413448334,g1_to_g2,-0.3578070104122162,
KPNA3,KPNA6,46.74545,-0.5596519857645035,g1_to_g2,0.6983467936515808,
KPNA6,KPNA3,46.74545,0.6025742292404175,g2_to_g1,-0.18177127838134766,
KPNA3,KPNA4,85.7965,-1.1673253178596497,g1_to_g2,1.3335119485855103,
KPNA4,KPNA3,85.7965,-1.5086824893951416,g2_to_g1,-0.18177127838134766,
KPNA3,KPNA2,50.0981,0.5869239717721939,g1_to_g2,-0.09583546221256256,
KPNA2,KPNA3,50.0981,1.0928598046302795,g2_to_g1,-0.18177127838134766,
KPNA3,KPNA7,42.2382,1.0508864223957062,g1_to_g2,-0.4229549467563629,
HADH,CRYL1,21.17035,1.754059374332428,g2_to_g1,-0.8826724290847778,
CAB39,CAB39L,80.5338,-0.502026692032814,g2_to_g1,-0.07543061673641205,
DNAJC19,DNAJC15,51.21265,1.2017443776130676,g2_to_g1,-0.3784371018409729,
S1PR1,GPR12,24.69195,1.1946571171283722,g2_to_g1,-0.438100665807724,
S1PR3,GPR12,23.68595,-0.0211641788482666,g2_to_g1,-0.438100665807724,
S1PR5,GPR12,26.43155,-0.0322573184967041,g2_to_g1,-0.438100665807724,
S1PR2,GPR12,23.59885,0.011252135038375854,g2_to_g1,-0.438100665807724,
LPAR3,GPR12,22.1421,0.007917732000350952,g2_to_g1,-0.438100665807724,
LPAR2,GPR12,23.7637,-0.009087711572647095,g2_to_g1,-0.438100665807724,
MC1R,GPR12,26.1315,-0.020835965871810913,g2_to_g1,-0.438100665807724,
GPR3,GPR12,56.32735,-0.0018931031227111816,g2_to_g1,-0.438100665807724,
WASF3,WASF2,49.0008,-1.3417426496744156,g1_to_g2,-0.16729317605495453,
WASF2,WASF3,49.0008,-0.6910696923732758,g2_to_g1,0.3783784806728363,
WASF3,WASF1,48.01795,-0.8218113481998444,g1_to_g2,0.27748528122901917,
WASF1,WASF3,48.01795,0.8496761620044708,g2_to_g1,0.3783784806728363,
TGFBI,POSTN,39.50545,-0.015687525272369385,g2_to_g1,-0.37937602400779724,
LHFPL2,LHFPL6,26.2807,-0.07570403814315796,g2_to_g1,0.5866062641143799,
LHFPL4,LHFPL6,23.0739,-0.7910706996917725,g2_to_g1,0.5866062641143799,
ST14,TMPRSS15,20.7566,-0.007745504379272461,g2_to_g1,-0.3268653154373169,
HPN,TMPRSS15,22.8112,-0.0004902780055999756,g2_to_g1,-0.3268653154373169,
PRSS22,TMPRSS15,20.88644,-0.0025068819522857666,g2_to_g1,-0.3268653154373169,
CXADR,GPA33,24.673,-1.3312108516693115,g1_to_g2,0.6531413197517395,
CXADR,VSIG8,30.4156,0.0022725537419319153,g1_to_g2,-0.12589704990386963,
CXADR,VSIG2,23.77115,-0.0007896646857261658,g1_to_g2,-0.08985818922519684,
CXADR,IGSF11,30.35945,0.6794195175170898,g1_to_g2,-1.4762011766433716,
CXADR,ESAM,24.3976,0.005125254392623901,g1_to_g2,-0.21203915774822235,
CXADR,VSIG1,21.561,0.4425833970308304,g1_to_g2,-0.30472758412361145,
CXADR,F11R,20.6863,0.5734443664550781,g1_to_g2,0.5401982069015503,
F11R,CXADR,20.6863,0.35249874740839005,g2_to_g1,-0.04030898958444595,
CXADR,CLMP,29.0007,-0.8750937134027481,g1_to_g2,-0.21551810204982758,
CLMP,CXADR,29.0007,1.4541865959763527,g2_to_g1,-0.04030898958444595,
JAM3,JAM2,33.8948,-1.02850341796875,g2_to_g1,0.5349686145782471,
F11R,JAM2,32.4959,-1.822672963142395,g2_to_g1,0.5349686145782471,
FREM2,FRAS1,27.73215,-0.9055382609367371,g1_to_g2,1.2219841480255127,
FRAS1,FREM2,27.73215,1.1322387754917145,g2_to_g1,-0.6968622207641602,
FREM2,FREM1,27.30055,-1.3671204447746277,g1_to_g2,0.39916765689849854,
FREM2,FREM3,48.0019,0.7095526717603207,g1_to_g2,0.05324605479836464,
SCAF4,SCAF8,38.3971,-0.6510050743818283,g1_to_g2,-0.20251567661762238,
SCAF8,SCAF4,38.3971,-1.5458083003759384,g2_to_g1,1.3058521747589111,
TBC1D4,TBC1D1,48.36895,0.9948153495788574,g1_to_g2,-0.35868263244628906,
TBC1D1,TBC1D4,48.36895,-0.8371444046497345,g2_to_g1,0.5990801453590393,
IMPA2,BPNT1,22.8445,-0.09557396173477173,g1_to_g2,-0.2757495939731598,
BPNT1,IMPA2,22.8445,-0.4649781584739685,g2_to_g1,0.1367083191871643,
IMPA2,IMPA1,52.05515,-1.11900794506073,g1_to_g2,0.2664186954498291,
IMPA1,IMPA2,52.05515,-0.03855457901954651,g2_to_g1,0.1367083191871643,
IMPA2,INPP1,20.32685,-0.6181496977806091,g1_to_g2,-0.6110131144523621,
SPRY2,SPRY3,40.2133,-0.20496152341365814,g1_to_g2,0.34745097160339355,
SPRY2,SPRY4,39.44045,1.2857897579669952,g1_to_g2,-0.8739258646965027,
SPRY4,SPRY2,39.44045,0.37279731035232544,g2_to_g1,-0.7509350776672363,
SPRY2,SPRY1,51.4216,1.3168595135211945,g1_to_g2,-0.8264666199684143,
SPRY1,SPRY2,51.4216,1.3874053955078125,g2_to_g1,-0.7509350776672363,
KLF5,KLF16,20.31625,-0.13297303766012192,g1_to_g2,0.23662838339805603,
KLF16,KLF5,20.31625,-0.8405144810676575,g2_to_g1,0.43277865648269653,
KLF5,KLF4,23.30345,-0.19078099727630615,g1_to_g2,0.4763416051864624,
KLF4,KLF5,23.30345,-1.3669525384902954,g2_to_g1,0.43277865648269653,
KLF5,KLF8,24.12245,-0.1270306222140789,g1_to_g2,-0.05644595995545387,
KLF8,KLF5,24.12245,-0.34386130422353745,g2_to_g1,0.43277865648269653,
KLF5,KLF9,21.0599,0.34110285341739655,g1_to_g2,-0.27732187509536743,
KLF9,KLF5,21.0599,-1.3504037261009216,g2_to_g1,0.43277865648269653,
KLF5,KLF15,20.66415,-0.47753456234931946,g1_to_g2,0.20536065101623535,
KLF15,KLF5,20.66415,-0.27032551169395447,g2_to_g1,0.43277865648269653,
KLF5,KLF1,25.24815,-0.022738933563232422,g1_to_g2,-0.48015153408050537,
KLF1,KLF5,25.24815,-0.348877988755703,g2_to_g1,0.43277865648269653,
KLF5,KLF12,23.14495,0.5033194124698639,g1_to_g2,-0.26547086238861084,
KLF12,KLF5,23.14495,-0.17362365126609802,g2_to_g1,0.43277865648269653,
KLF5,KLF6,29.7531,-0.8965041637420654,g1_to_g2,-0.09295940399169922,
KLF6,KLF5,29.7531,-1.0214179754257202,g2_to_g1,0.43277865648269653,
KLF5,KLF7,29.42205,0.052965134382247925,g1_to_g2,0.3870607614517212,
KLF7,KLF5,29.42205,-0.6440828144550323,g2_to_g1,0.43277865648269653,
KLF5,KLF13,20.09445,-0.2070418857038021,g1_to_g2,0.03236007317900658,
KLF13,KLF5,20.09445,-0.844995528459549,g2_to_g1,0.43277865648269653,
KLF5,KLF2,25.2757,-0.012826338410377502,g1_to_g2,-0.23290526866912842,
KLF2,KLF5,25.2757,0.31059592962265015,g2_to_g1,0.43277865648269653,
PRKAA1,HUNK,21.21,-0.7119288146495819,g2_to_g1,0.4554738998413086,
BRSK1,HUNK,20.68145,-1.6418044567108154,g2_to_g1,0.4554738998413086,
TSSK6,HUNK,24.0519,-0.7187075316905975,g2_to_g1,0.4554738998413086,
MELK,HUNK,20.8503,0.3572061061859131,g2_to_g1,0.4554738998413086,
PRKAA2,HUNK,20.879,-1.511725664138794,g2_to_g1,0.4554738998413086,
SIK1,HUNK,21.01995,-1.6760026216506958,g2_to_g1,0.4554738998413086,
TSSK3,HUNK,24.8897,0.1131976842880249,g2_to_g1,0.4554738998413086,
BRSK2,HUNK,20.4185,0.1466708779335022,g2_to_g1,0.4554738998413086,
RFC3,RFC4,25.59355,-1.7103410139679909,g1_to_g2,-0.06484850496053696,
RFC4,RFC3,25.59355,3.5531970262527466,g2_to_g1,-0.28638970851898193,
RFC3,RFC5,25.58825,0.05676255375146866,g1_to_g2,0.11259118467569351,
RFC3,RFC2,24.78895,0.9774012565612793,g1_to_g2,0.37321150302886963,
RFC2,RFC3,24.78895,0.9108663201332092,g2_to_g1,-0.28638970851898193,
POU4F1,POU1F1,27.3684,-0.0052205100655555725,g1_to_g2,-0.07965552806854248,
POU1F1,POU4F1,27.3684,-1.200512856245041,g2_to_g1,0.8326202630996704,
POU4F1,POU3F2,25.07745,1.151525467634201,g1_to_g2,-0.42060890793800354,
POU3F2,POU4F1,25.07745,1.148219108581543,g2_to_g1,0.8326202630996704,
POU4F1,POU4F3,67.3497,-0.009311705827713013,g1_to_g2,-0.12722985446453094,
POU4F3,POU4F1,67.3497,-1.2043673396110535,g2_to_g1,0.8326202630996704,
POU4F1,POU3F4,27.3306,0.4959889054298401,g1_to_g2,-1.0233110189437866,
POU3F4,POU4F1,27.3306,-1.2077268958091736,g2_to_g1,0.8326202630996704,
POU4F1,POU2F2,20.34495,-1.1401100158691406,g1_to_g2,0.17125117778778076,
POU2F2,POU4F1,20.34495,-1.2039125561714172,g2_to_g1,0.8326202630996704,
POU4F1,POU3F3,24.7845,-0.009793668985366821,g1_to_g2,-0.20844414830207825,
POU3F3,POU4F1,24.7845,-1.2000932097434998,g2_to_g1,0.8326202630996704,
POU4F1,POU3F1,24.63105,0.23107919096946716,g1_to_g2,-0.5377227067947388,
POU3F1,POU4F1,24.63105,-1.1943581998348236,g2_to_g1,0.8326202630996704,
POU4F1,POU2F3,23.40105,-0.5453469678759575,g1_to_g2,0.4424216151237488,
POU2F3,POU4F1,23.40105,-1.2151482999324799,g2_to_g1,0.8326202630996704,
POU4F1,POU5F1B,21.98165,1.052168846130371,g1_to_g2,-0.3332868218421936,
POU5F1B,POU4F1,21.98165,-1.2029914557933807,g2_to_g1,0.8326202630996704,
POU4F1,POU5F1,21.94875,0.09371156990528107,g1_to_g2,-0.10531605780124664,
POU5F1,POU4F1,21.94875,-1.1382851004600525,g2_to_g1,0.8326202630996704,
POU4F1,POU4F2,61.12005,-0.00623968243598938,g1_to_g2,-0.1133929118514061,
POU4F2,POU4F1,61.12005,-1.213559776544571,g2_to_g1,0.8326202630996704,
MORC3,MORC4,34.86145,1.599996268749237,g1_to_g2,-0.6131614446640015,
SPATA13,ARHGEF9,42.04405,2.450780911371112,g1_to_g2,0.022828059270977974,
ARHGEF9,SPATA13,42.04405,0.23671066761016846,g2_to_g1,1.087511420249939,
PAXBP1,GCFC2,30.5849,-1.266484946012497,g1_to_g2,0.9060715436935425,
GCFC2,PAXBP1,30.5849,-1.2789755463600159,g2_to_g1,0.4396657943725586,
OLFM2,OLFM4,22.4825,-0.0014338642358779907,g2_to_g1,-0.1948181688785553,
OLFM1,OLFM4,24.337,0.009589016437530518,g2_to_g1,-0.1948181688785553,
IPO5,RANBP6,79.11095,-1.197931855916977,g1_to_g2,0.8975337743759155,
RANBP6,IPO5,79.11095,-1.131973683834076,g2_to_g1,0.8631556630134583,
IPO5,IPO4,20.57045,-0.8262978792190552,g1_to_g2,0.2671889662742615,
IPO4,IPO5,20.57045,-2.054669678211212,g2_to_g1,0.8631556630134583,
CELF4,CELF2,45.5366,-3.0737067461013794,g1_to_g2,1.0540186166763306,
CELF2,CELF4,45.5366,1.958614468574524,g2_to_g1,-1.0555180311203003,
CELF4,CELF5,65.49955,0.04604572057723999,g1_to_g2,0.4477011263370514,
CELF5,CELF4,65.49955,4.946518301963806,g2_to_g1,-1.0555180311203003,
CELF4,CELF6,68.04735,0.6407648026943207,g1_to_g2,0.42895522713661194,
CELF4,CELF3,66.27835,-0.016057997941970825,g1_to_g2,-0.37108370661735535,
CELF3,CELF4,66.27835,1.5500015616416931,g2_to_g1,-1.0555180311203003,
CELF4,CELF1,43.83435,-0.7724064290523529,g1_to_g2,0.14983776211738586,
CELF1,CELF4,43.83435,-0.05249476432800293,g2_to_g1,-1.0555180311203003,
ITSN1,ITSN2,60.1551,2.4852155447006226,g1_to_g2,-1.1168173551559448,
FMNL2,DIAPH3,20.4338,-0.1505935937166214,g2_to_g1,0.3194824755191803,
FMNL3,DIAPH3,20.20305,0.854315847158432,g2_to_g1,0.3194824755191803,
FMNL1,DIAPH3,20.26885,-0.6260767579078674,g2_to_g1,0.3194824755191803,
DAAM1,DIAPH3,21.38335,0.24907055497169495,g2_to_g1,0.3194824755191803,
DIAPH1,DIAPH3,45.32035,0.44276317954063416,g2_to_g1,0.3194824755191803,
SS18,SS18L2,29.220805,2.0985973477363586,g1_to_g2,-1.4812159538269043,
SS18L2,SS18,29.220805,-0.755113497376442,g2_to_g1,0.12246747314929962,
SS18,SS18L1,60.48645,0.30857257544994354,g1_to_g2,-0.16703461110591888,
SS18L1,SS18,60.48645,0.4552798718214035,g2_to_g1,0.12246747314929962,
SLC7A1,SLC7A14,40.84885,-0.21648812294006348,g1_to_g2,-0.11172252893447876,
SLC7A1,SLC7A4,39.7161,-0.010181576013565063,g1_to_g2,-0.33869919180870056,
SLC7A1,SLC7A6,21.366,-1.9066702127456665,g1_to_g2,0.9952830672264099,
SLC7A6,SLC7A1,21.366,-0.2654039263725281,g2_to_g1,0.9328416585922241,
SLC7A1,SLC7A5,20.4827,-2.1411030292510986,g1_to_g2,1.114514946937561,
SLC7A5,SLC7A1,20.4827,-1.8607564568519592,g2_to_g1,0.9328416585922241,
SLC7A1,SLC7A3,58.8179,0.11101152002811432,g1_to_g2,-0.32230377197265625,
SLC7A3,SLC7A1,58.8179,-1.9913281202316284,g2_to_g1,0.9328416585922241,
SLC7A1,SLC7A2,58.9266,-0.6265122592449188,g1_to_g2,0.8210874795913696,
SLC7A2,SLC7A1,58.9266,-0.8390870541334152,g2_to_g1,0.9328416585922241,
SLC7A1,SLC7A8,21.27275,-0.5804709196090698,g1_to_g2,1.2131178379058838,
SLC7A8,SLC7A1,21.27275,-1.3073706924915314,g2_to_g1,0.9328416585922241,
SLC7A1,SLC7A11,21.3357,-2.2135191559791565,g1_to_g2,0.9798617959022522,
SLC7A11,SLC7A1,21.3357,-0.8947222717106342,g2_to_g1,0.9328416585922241,
SLC7A1,SLC7A7,21.28065,-1.0852324664592743,g1_to_g2,1.5343639850616455,
SLC15A1,SLC15A2,46.6349,-0.39249229431152344,g1_to_g2,-0.32241344451904297,
FOXO1,FOXO4,37.8747,0.5936294123530388,g1_to_g2,-0.09022372215986252,
FOXO4,FOXO1,37.8747,-2.3247220516204834,g2_to_g1,1.0425636768341064,
FOXO1,FOXO3,43.3815,-0.8227638006210327,g1_to_g2,0.08147448301315308,
FOXO3,FOXO1,43.3815,-0.8458757400512695,g2_to_g1,1.0425636768341064,
FOXO1,FOXO6,34.70255,-0.6600384339690208,g1_to_g2,-0.11787078529596329,
FOXO6,FOXO1,34.70255,-0.9895758852362633,g2_to_g1,1.0425636768341064,
LRCH4,LRCH1,38.2915,-1.1939266324043274,g2_to_g1,0.36616283655166626,
LRCH3,LRCH1,40.6527,-1.0040662288665771,g2_to_g1,0.36616283655166626,
RPRD1A,RPRD1B,67.11695,0.7618496417999268,g1_to_g2,0.7977579832077026,
RPRD1B,RPRD1A,67.11695,-1.8785356283187866,g2_to_g1,1.2934588193893433,
DIS3,DIS3L,34.37245,0.9188647270202637,g1_to_g2,0.1467801332473755,
DIS3L,DIS3,34.37245,-1.4469786435365677,g2_to_g1,1.571407437324524,
DIS3,DIS3L2,27.0636,0.36959984712302685,g1_to_g2,-0.3574828505516052,
