dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807005,1.4813543260097504,True,-0.4220143258571625,,
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.00685314898113833,-1.738272249698639,True,0.793228268623352,-1.6355956196784973,
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.00111573156682223,0.7509192377328873,True,0.2447424978017807,,
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,,False,-0.2678390145301819,0.418058343231678,
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.00832935032606047,-0.8351114392280579,True,-0.27920395135879517,-0.8493864685297012,
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.00454049877620809,0.01695692539215088,True,0.7281646728515625,0.4338115155696869,
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.00126101618257043,-0.05999183654785156,True,-0.622377872467041,1.481650859117508,
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.00622027162011764,-0.2254980206489563,True,-0.8073572516441345,2.9087021350860596,
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,-2.513354778289795,True,0.9811059236526489,0.6198066622018814,
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,-2.21497642993927,True,0.9811059236526489,-2.7251304388046265,
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.000403218217235383,-0.6364761218428612,True,0.09303953498601913,-1.5265809893608093,
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.000451196698309513,-4.499915182590485,True,0.8836246132850647,-0.5107195377349854,
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.00631651691243816,-1.6084077060222626,True,-0.2354051172733307,0.88972407579422,
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.000932759958960599,0.4466760400682688,True,-0.41706544160842896,0.6626101732254028,
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.00040069757774896,-1.460327684879303,True,0.5976793169975281,0.8329323828220367,
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.000488282011922593,-0.021425366401672363,True,0.863475501537323,1.6773389875888824,
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.00019424416588183,-0.04181728512048721,True,-0.1131860539317131,1.1844349540770054,
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.00193074605610749,-0.4992100056260824,True,-0.013290340080857277,0.8184778094291687,
TYMS,DHFR,TYMS-DHFR,20.07485,chr5_q,chr18_p,0.00111925781963961,-0.4346934678032994,True,0.43303000926971436,0.3068229854106903,
POM121C,POM121L2,POM121C-POM121L2,39.4881,chr6_p,chr7_q,0.00414683457600431,-1.5688008069992065,True,0.7565841674804688,,
TUBB4B,TUBB,TUBB4B-TUBB,97.41295,chr6_p,chr9_q,4.30891259001776e-07,1.007513489574194,True,-0.9874668717384338,1.9838579893112183,
PPP2CA,PPP2CB,PPP2CA-PPP2CB,97.411,chr8_p,chr5_q,3.40338384631437e-09,1.5975008606910706,True,-0.737682580947876,1.7015886306762695,
SMARCA4,SMARCA2,SMARCA4-SMARCA2,76.5143,chr9_p,chr19_p,0.00589995610720077,-0.9072141647338867,True,1.4034558534622192,0.35419560968875885,
DDX3X,DDX3Y,DDX3X-DDX3Y,92.2846,chrY,chrX_p,1.28749520310857e-15,0.1862819492816925,True,0.48852065205574036,0.8876706957817078,
EIF1AX,EIF1AY,EIF1AX-EIF1AY,99.3056,chrY,chrX_p,2.22650630820422e-13,-0.007994817569851875,True,-0.022885603830218315,-1.1541141867637634,
RPS4X,RPS4Y1,RPS4X-RPS4Y1,92.7757,chrY,chrX_q,0.000355621605039158,3.7328022122383118,True,-0.8919008374214172,2.2019113898277283,
